url,name,type,imo
/vessels/details/662311818,30118-18-02,Unknown,662311818
/vessels/details/662270002,66227-2-58,Unknown,662270002
/vessels/details/662218572,LIN 21857-2-85,Unknown,662218572
/vessels/details/662888592,MINXIAYU88859-2-61,Unknown,662888592
/vessels/details/662191826,LIN21918-26-97,Unknown,662191826
/vessels/details/662192310,LIN 21923-10-99,Unknown,662192310
/vessels/details/662401001,662401-10000000008V2,Unknown,662401001
/vessels/details/662214771,LIN 21477-1-93,Unknown,662214771
/vessels/details/662971619,XIANG29716-19-85,Unknown,662971619
/vessels/details/662811782,JLY00021-04-85,Unknown,662811782
/vessels/details/662500210,ZXY25002-10-98,Unknown,662500210
/vessels/details/662080002,66208-02-99,Unknown,662080002
/vessels/details/662181513,LIN21815-13-63,Unknown,662181513
/vessels/details/662153810,LIN 21538-10-99,Unknown,662153810
/vessels/details/9056363,ARKAWEET,Tug,9056363
/vessels/details/662258047,ZHEPUYU62258-47 90,Pleasure craft,662258047
/vessels/details/662188646,42083-26-72,Unknown,662188646
/vessels/details/662190006,66219-6-93,Unknown,662190006
/vessels/details/662127324,LIN21273-24-93,Unknown,662127324
/vessels/details/662700032,968,Unknown,662700032
/vessels/details/662540005,LUHAIYU66254-5-85,Unknown,662540005
/vessels/details/662100919,LIN 21009-19-02,Unknown,662100919
/vessels/details/662770001,LUHAIYU66277-1-99,Unknown,662770001
/vessels/details/662747154,CHARIOT ZIJE,Tanker,662747154
/vessels/details/662410016,66241-16-21,Unknown,662410016
/vessels/details/662085962,SAN 08596-2-94,Unknown,662085962
/vessels/details/662410018,66241-18-99,Unknown,662410018
/vessels/details/662942195,ROZ Y,Cargo ship,662942195
/vessels/details/662183623,LIN21836-23-27,Unknown,662183623
/vessels/details/662311846,30118-46-83,Unknown,662311846
/vessels/details/662127310,LIN 21273-10-96,Unknown,662127310
/vessels/details/662185911,LIN 21859-11-51,Unknown,662185911
/vessels/details/662288036,ZPY62288-36 90,Unknown,662288036
/vessels/details/662009811,20098-11-94,Unknown,662009811
/vessels/details/662163816,LIN21638-16-51,Unknown,662163816
/vessels/details/662546002,LUHAIYU66254-23-82,Unknown,662546002
/vessels/details/662441756,MINLIANYUYUN60063,Fishing vessel,662441756
/vessels/details/662165822,LIN 21658-22-36,Unknown,662165822
/vessels/details/662185820,LIN 21858-20-99,Unknown,662185820
/vessels/details/662288049,ZHEPUYU62288-49 60,Unknown,662288049
/vessels/details/662125536,LIN21255-36-66,Unknown,662125536
/vessels/details/662500207,ZXY25002-07-37,Unknown,662500207
/vessels/details/662258040,ZHEPUYU62258-40 70,Unknown,662258040
/vessels/details/662219822,LIN 21982-2-48,Unknown,662219822
/vessels/details/662220062,66222-62-46,Unknown,662220062
/vessels/details/662500102,ZXY25001-02-45,Unknown,662500102
/vessels/details/662192326,LIN21923-26-87,Unknown,662192326
/vessels/details/662000102,662-B2-84,Unknown,662000102
/vessels/details/662221938,LXK21938-68.0V,Unknown,662221938
/vessels/details/662500002,DAOXIANGJIA6625-220,Unknown,662500002
/vessels/details/662138827,LIN 21388-27-49,Unknown,662138827
/vessels/details/662193922,LIN 21939-22-99,Unknown,662193922
/vessels/details/662307507,ZHESHENGYU05507,Fishing vessel,662307507
/vessels/details/662323123,23123,Unknown,662323123
/vessels/details/662942927,PRINCESS MARIAM,Cargo ship,662942927
/vessels/details/662180323,LIN21803-A23-67,Unknown,662180323
/vessels/details/662100000,TORNG TAY NO1,Fishing vessel,662100000
/vessels/details/662111118,21111-18-99,Unknown,662111118
/vessels/details/662942885,NOCZIS,Other type,662942885
/vessels/details/662211003,ZHESHENGYU05662-3,Unknown,662211003
/vessels/details/662310073,ZHESHENGYU66231-73,Pleasure craft,662310073
/vessels/details/662971620,XIANG29716-20-74,Unknown,662971620
/vessels/details/662120002,66212-2-76,Unknown,662120002
/vessels/details/662540012,LUHAIYU66254-12-96,Unknown,662540012
/vessels/details/662166225,LIN21662-25-66,Unknown,662166225
/vessels/details/662288042,ZHEPUYU62288-42 90,Unknown,662288042
/vessels/details/662270005,66227-5-99,Unknown,662270005
/vessels/details/9948853,FMC 124,Tug,9948853
/vessels/details/662999999,KM PANGERAN AKSHA,Fishing vessel,662999999
/vessels/details/662165926,LIN21659-26-85,Unknown,662165926
/vessels/details/662616999,YU 999 -66 100,Other type,662616999
/vessels/details/662215512,LIN 21551-2-91,Unknown,662215512
/vessels/details/662122891,LIN 12289-1-99,Unknown,662122891
/vessels/details/662540010,LUHAIYU66254-10-95,Unknown,662540010
/vessels/details/662410007,66241-7-99,Unknown,662410007
/vessels/details/662298012,HAISHANGWANGXIANG-12,Unknown,662298012
/vessels/details/662410023,66241-23-84,Unknown,662410023
/vessels/details/662288043,ZHEPUYU62288-43 90,Unknown,662288043
/vessels/details/662183938,LIN21839-38,Unknown,662183938
/vessels/details/662250007,66225-07-37,Unknown,662250007
/vessels/details/662900003,6629-3-99,Unknown,662900003
/vessels/details/662186836,LIN21868-36-86,Unknown,662186836
/vessels/details/662970004,LUCHENGYU66297-4-90,Unknown,662970004
/vessels/details/662220084,66222-84-01,Unknown,662220084
/vessels/details/662220010,66222-10-68,Unknown,662220010
/vessels/details/662540011,LUHAIYU66254-11-83,Unknown,662540011
/vessels/details/662009124,ZHESHENGYU05566-124,Unknown,662009124
/vessels/details/662149824,LIN21498-24-65,Unknown,662149824
/vessels/details/662800040,6628-4078,Unknown,662800040
/vessels/details/662942902,SYMPHONY,Tanker,662942902
/vessels/details/9110846,GABEIT,Tug,9110846
/vessels/details/662410002,66241-2-79,Unknown,662410002
/vessels/details/662400002,66240-2-99,Unknown,662400002
/vessels/details/662139721,LIN21397-21-92,Unknown,662139721
/vessels/details/662147720,LIN 21477-20-99,Unknown,662147720
/vessels/details/662975713,LING29757-13-75,Unknown,662975713
/vessels/details/662165839,LIN21658-39-78,Unknown,662165839
/vessels/details/662211004,YUNYU056-6-55,Unknown,662211004
/vessels/details/662770023,LUHAIYU66277-23-99,Unknown,662770023
/vessels/details/662120003,66212-3-68,Unknown,662120003
/vessels/details/662770011,LUHAIYU66277-11-99,Unknown,662770011
/vessels/details/662120381,LIN 12038-1-66,Unknown,662120381
/vessels/details/8112354,SAWAKIN,Tug,8112354
/vessels/details/662770021,LUHAIYU66277-21-97,Unknown,662770021
/vessels/details/662182813,LIN21828-13-95,Unknown,662182813
/vessels/details/662942867,CONSZELLAZION,Tanker,662942867
/vessels/details/662128205,ZLY21282-05-93,Unknown,662128205
/vessels/details/662188636,LIN21886-36-56,Unknown,662188636
/vessels/details/662218581,LIN 21858-1-99,Unknown,662218581
/vessels/details/662942101,ALORA,Cargo ship,662942101
/vessels/details/662183720,LIN21837-20-63,Unknown,662183720
/vessels/details/8203517,ALGASH,Water Tanker,8203517
/vessels/details/662180619,LIN 21806-19-52,Unknown,662180619
/vessels/details/662250002,-66225-02-96,Unknown,662250002
/vessels/details/662770009,LUHAIYU66277-9-99,Unknown,662770009
/vessels/details/662550005,YANGZHIQU-05-19,Unknown,662550005
/vessels/details/662258039,ZHEPUYU62258-39 70,Unknown,662258039
/vessels/details/662696488,YU488-6-38,Unknown,662696488
/vessels/details/662009123,ZHESHENGYU05566-123,Unknown,662009123
/vessels/details/662362554,99588-12-53,Unknown,662362554
/vessels/details/662887520,LING 28875-20-93,Unknown,662887520
/vessels/details/662080005,66208-05-87,Unknown,662080005
