url,name,type,imo
/vessels/details/9695389,P MAK,Pontoon,9695389
/vessels/details/9620140,P 9,Pontoon,9620140
/vessels/details/9395513,ZEUS,Tug,9395513
/vessels/details/9801823,MERCUR,Tug,9801823
/vessels/details/9977842,ARES,Tug,9977842
/vessels/details/9584932,NEPTUN,Tug,9584932
/vessels/details/7305992,WOTAN,Pusher Tug,7305992
/vessels/details/7612632,SIRIUS,Tug,7612632
/vessels/details/9148568,A21,Patrol Vessel,9148568
/vessels/details/278526000,DEKLICA,Fishing vessel,278526000
/vessels/details/278471000,LIBERA,Pleasure craft,278471000
/vessels/details/278001265,BLUE DESTINY,Sailing vessel,278001265
/vessels/details/278837000,AMIGO,Fishing vessel,278837000
/vessels/details/278001389,JARO V,Unknown,278001389
/vessels/details/278001138,RHEA,Pleasure craft,278001138
/vessels/details/278001312,PILOT2,Pilot,278001312
/vessels/details/278113000,SKOKICA,Sailing vessel,278113000
/vessels/details/278001885,RIBICA,Sailing vessel,278001885
/vessels/details/278001358,MOMA,Sailing vessel,278001358
/vessels/details/278001310,KP662,Unknown,278001310
/vessels/details/278593000,SPECTRUM,Sailing vessel,278593000
/vessels/details/278984000,TAIA 2 WHITE GOOSE,Sailing vessel,278984000
/vessels/details/278478000,CELLINI,Pleasure craft,278478000
/vessels/details/278727000,BETTY,Unknown,278727000
/vessels/details/278950000,SY YODA,Sailing vessel,278950000
/vessels/details/278648000,JONA,Sailing vessel,278648000
/vessels/details/278001476,LUCIKA,Unknown,278001476
/vessels/details/278001076,LYCIAN PRINCESS,Pleasure craft,278001076
/vessels/details/278001865,BIRBA,Sailing vessel,278001865
/vessels/details/278002044,PILOT 3,Pilot,278002044
/vessels/details/278527000,JEZ,Fishing vessel,278527000
/vessels/details/278644000,MIC TIC V.,Sailing vessel,278644000
/vessels/details/278001230,TIMY,Sailing vessel,278001230
/vessels/details/278001449,SAMPEI,Sailing vessel,278001449
/vessels/details/278236000,HAGAZUSSA 3,Pleasure craft,278236000
/vessels/details/278001448,ROY,Pleasure craft,278001448
/vessels/details/278001133,NAJINA,Sailing vessel,278001133
/vessels/details/278707000,SKARPENA,Passenger ship,278707000
/vessels/details/278095000,ZLATOPERKA,Fishing vessel,278095000
/vessels/details/278888000,LARA,Unknown,278888000
/vessels/details/278851000,KITRI,Pleasure craft,278851000
/vessels/details/278001356,TANJA KP-462,Pleasure craft,278001356
/vessels/details/278944000,DAPHNE,Sailing vessel,278944000
/vessels/details/278028000,SI-10,SAR,278028000
/vessels/details/278320000,LAHO,Passenger ship,278320000
/vessels/details/278799000,SKY,Sailing vessel,278799000
/vessels/details/278001106,SIX HALF,Sailing vessel,278001106
/vessels/details/278007004,SI-11,SAR,278007004
/vessels/details/278001874,ELAYA,Sailing vessel,278001874
/vessels/details/278001026,BLUE BOSSA,Sailing vessel,278001026
/vessels/details/278002027,DIANTHUS,Sailing vessel,278002027
/vessels/details/278600000,MEJA,Passenger ship,278600000
