url,name,type,imo
/vessels/details/8356730,UBC MECHNIKOV,Oil Products Tanker,8356730
/vessels/details/7510793,XENIA,General Cargo Ship,7510793
/vessels/details/267210275,GLASGOW3 BAGES,Cargo ship,267210275
/vessels/details/267210002,PANTHER,Unknown,267210002
/vessels/details/267210304,PRAIA,Sailing vessel,267210304
/vessels/details/267010038,BD KRUPINA,Unknown,267010038
/vessels/details/267130814,URSULA KLAUS,Cargo ship,267130814
/vessels/details/267131105,KENAVO,Cargo ship,267131105
/vessels/details/267131517,INA,Other type,267131517
/vessels/details/267130903,VOLUNTASBARGE,Tanker,267130903
/vessels/details/267132615,PRINZESSIN SISI,Passenger ship,267132615
/vessels/details/267210098,SUNNY DAY,Pleasure craft,267210098
/vessels/details/267210269,MISKOLC,Tug,267210269
/vessels/details/267194000,MELK,Tug,267194000
/vessels/details/267210229,HRON-2,Cargo ship,267210229
/vessels/details/267210160,FORTIS 3 BARGE,Cargo ship (HAZ-A),267210160
/vessels/details/267010040,BD TEKOV,Tug,267010040
/vessels/details/267210194,UNBOUND,Sailing vessel,267210194
/vessels/details/267211000,MAGNUS,Cargo ship,267211000
/vessels/details/267210084,MST TORO IV,Cargo ship,267210084
/vessels/details/267131019,PAUL P,Cargo ship,267131019
/vessels/details/267114000,MMC CHRISTIANE,Cargo ship,267114000
/vessels/details/267210240,KATARINA,Cargo ship,267210240
/vessels/details/267010037,BD BREZNO,Unknown,267010037
/vessels/details/267131716,CHABELI,Tanker,267131716
/vessels/details/267210289,TENACIOUS,Tanker,267210289
/vessels/details/267131406,ARGENTINOSAURUS,Tanker,267131406
/vessels/details/267131008,NAJADE,Other type,267131008
/vessels/details/267131001,ST.NIKOLAUS,Cargo ship,267131001
/vessels/details/267131209,GARDOS,Cargo ship,267131209
/vessels/details/267960000,METEOR III,Passenger ship,267960000
/vessels/details/267131106,VALENCIA,Other type,267131106
/vessels/details/267131711,AARGAU,Cargo ship,267131711
/vessels/details/267210090,MARTINE,Unknown,267210090
/vessels/details/267131505,MILLENNIUM FALCON,Cargo ship,267131505
/vessels/details/267210262,ISTOK,Cargo ship,267210262
/vessels/details/267210221,LUKA3BARGE,Cargo ship,267210221
/vessels/details/267210214,ALBERTINA,Passenger ship,267210214
/vessels/details/267010043,BD ONDAVA,Unknown,267010043
/vessels/details/267210273,URIAH HEEP SL QUEEN,Cargo ship,267210273
/vessels/details/267195000,MUFLON 4,Cargo ship,267195000
/vessels/details/267210280,MISHA,Cargo ship,267210280
/vessels/details/267210161,BELAVA,Sailing vessel,267210161
/vessels/details/267131207,JELSINA,Cargo ship,267131207
/vessels/details/267158000,LUCIA X,Unknown,267158000
/vessels/details/267172000,MY MOUSY,Sailing vessel,267172000
/vessels/details/267130816,ALEXANDRIA,Other type (HAZ-B),267130816
/vessels/details/267010030,TRENCIN,Cargo ship,267010030
/vessels/details/267210080,RUBIKON23,Tanker,267210080
/vessels/details/267010086,CARESS FIREBRIGADE,Other type,267010086
/vessels/details/267010003,MUFLON8,Cargo ship,267010003
/vessels/details/267130805,ISABELL,Other type,267130805
/vessels/details/267131705,ABSOLUT,Cargo ship,267131705
/vessels/details/267010054,BD VTACNIK,Unknown,267010054
/vessels/details/267010020,MUFLON 6,Cargo ship,267010020
/vessels/details/267131803,UBC SHALIMOV,Tanker,267131803
/vessels/details/267010022,SITNO,Cargo ship,267010022
/vessels/details/267850000,DPT VIKTORIA,Cargo ship,267850000
/vessels/details/267210209,BD BODIKY,Other type,267210209
/vessels/details/267130812,YUG,Cargo ship,267130812
/vessels/details/267010075,BD VAH,Unknown,267010075
/vessels/details/267131316,UBCHAFFKIN,Tanker,267131316
/vessels/details/267210100,MAMAS,Unknown,267210100
/vessels/details/267210006,KALLISTE II,Sailing vessel,267210006
/vessels/details/267940000,PRESOV,Passenger ship,267940000
/vessels/details/267130608,ATTILL,Unknown,267130608
/vessels/details/267010090,SIGMA,Other type,267010090
/vessels/details/267168000,TURIEC,Cargo ship,267168000
/vessels/details/267152000,NOMAD,Other type,267152000
/vessels/details/267010008,KREMS,Cargo ship,267010008
/vessels/details/267130910,ANTALYA 1,Cargo ship,267130910
/vessels/details/267131010,MLP ATLANTIS,Other type,267131010
/vessels/details/267130806,MONIKA,WIG,267130806
/vessels/details/267132402,LISA,Tanker,267132402
/vessels/details/267132623,DCS AMETHYST 1,Other type,267132623
/vessels/details/267210225,SVETI LUKA,Cargo ship,267210225
/vessels/details/267130809,REGINA,Tanker,267130809
/vessels/details/267210285,ARETA3 BARZE,Other type,267210285
