url,name,type,imo
/vessels/details/9292187,LUNA LUSTER,Crude Oil Tanker,9292187
/vessels/details/9218777,FU OCEAN,Bulk Carrier,9218777
/vessels/details/9299678,PRISMA,Crude Oil Tanker,9299678
/vessels/details/9227443,ARLAN,Crude Oil Tanker,9227443
/vessels/details/9229374,ODUNE,Crude Oil Tanker,9229374
/vessels/details/9207027,VERNAL,Crude Oil Tanker,9207027
/vessels/details/9247376,MARIEL,Crude Oil Tanker,9247376
/vessels/details/9288899,NORELIA,Crude Oil Tanker,9288899
/vessels/details/9326718,FULGER,Crude Oil Tanker,9326718
/vessels/details/9301524,DENEB,Crude Oil Tanker,9301524
/vessels/details/9137648,CARUZO,Crude Oil Tanker,9137648
/vessels/details/9290335,JUMBO,Crude Oil Tanker,9290335
/vessels/details/9286281,SAMADHA,Crude Oil Tanker,9286281
/vessels/details/9247429,INDRI,Crude Oil Tanker,9247429
/vessels/details/9249312,IZOLA,Crude Oil Tanker,9249312
/vessels/details/9378876,GREGAL,Crude Oil Tanker,9378876
/vessels/details/9317949,KARTHA,Crude Oil Tanker,9317949
/vessels/details/9394935,OZANNO,Crude Oil Tanker,9394935
/vessels/details/9389679,BULLAR,Crude Oil Tanker,9389679
/vessels/details/9248849,SILVERA,Crude Oil Tanker,9248849
/vessels/details/9288710,MELITE,Crude Oil Tanker,9288710
/vessels/details/9283291,TIBURON,Crude Oil Tanker,9283291
/vessels/details/9319686,HU PO,Crude Oil Tanker,9319686
/vessels/details/9338905,PATE,Crude Oil Tanker,9338905
/vessels/details/9331141,RIZVEL,Crude Oil Tanker,9331141
/vessels/details/9346744,MA JIN,Crude Oil Tanker,9346744
/vessels/details/9437983,CAI YUN,Crude Oil Tanker,9437983
/vessels/details/9434890,VOKKI,Crude Oil Tanker,9434890
/vessels/details/9260823,FIESTA,Crude Oil Tanker,9260823
/vessels/details/9308821,BERRA,Crude Oil Tanker,9308821
/vessels/details/9389095,MINION,Crude Oil Tanker,9389095
/vessels/details/9308833,KUSTO,Crude Oil Tanker,9308833
/vessels/details/9330604,NACHOS,Crude Oil Tanker,9330604
/vessels/details/9377779,MONARCH I,Crude Oil Tanker,9377779
/vessels/details/9308857,RYMO,Crude Oil Tanker,9308857
/vessels/details/9253313,MATARI,Crude Oil Tanker,9253313
/vessels/details/9250892,MIKATI,Crude Oil Tanker,9250892
