url,name,type,imo
/vessels/details/9240201,JIKKE,Oil Products Tanker,9240201
/vessels/details/9118305,DJILOR,General Cargo Ship,9118305
/vessels/details/9383132,ALINE SITOE DIATTA,Passenger/Ro-Ro Cargo Ship,9383132
/vessels/details/9714458,DIAMBOGNE,Passenger/Ro-Ro Cargo Ship,9714458
/vessels/details/1029857,TOUBA TAWFEKH,Oil Products Tanker,1029857
/vessels/details/8222422,PONT SAINT LOUIS,Fishing Vessel,8222422
/vessels/details/7817323,SEA BREEZ,Fishing Vessel,7817323
/vessels/details/8116178,DIOGUE,General Cargo Ship,8116178
/vessels/details/8996190,SEA DEFENDER,Fishing Vessel,8996190
/vessels/details/8102907,GRANADA,Fishing Vessel,8102907
/vessels/details/9807994,TEKROUR,Tug,9807994
/vessels/details/7407659,CAMPELO1,Fishing Vessel,7407659
/vessels/details/9189691,PDT MATAR NDIAYE II,Fishing Vessel,9189691
/vessels/details/9357274,VB SANGOMAR,Tug,9357274
/vessels/details/9357341,VB JOAL,Tug,9357341
/vessels/details/9264374,VB NORA,Tug,9264374
/vessels/details/9728021,POSH GALLANT,Tug,9728021
/vessels/details/9728033,POSH GENTLE,Tug,9728033
/vessels/details/9144615,PLAYA DE DAKAR,Fishing Vessel,9144615
/vessels/details/9144627,SIERRA DE DAKAR,Fishing Vessel,9144627
/vessels/details/8615590,VB SOMONE,Tug,8615590
/vessels/details/8619041,VB GOREE,Tug,8619041
/vessels/details/7618856,KANBAL III,Fishing Vessel,7618856
/vessels/details/7424695,MOYA,Fishing Vessel,7424695
/vessels/details/9095204,SENEFAND DOS,Fishing Vessel,9095204
/vessels/details/8305054,CAYAR,Tug,8305054
/vessels/details/9003342,RIA DE DAKAR,Fishing Vessel,9003342
/vessels/details/9099121,COUMBA CASTEL,Passenger/Ro-Ro Cargo Ship,9099121
/vessels/details/9208978,ABRELA,Fishing Vessel,9208978
/vessels/details/8866278,SUNUGAAL,Fishing Vessel,8866278
/vessels/details/663252000,MOHAMED,Fishing vessel,663252000
/vessels/details/663039000,SEGUNDO SAN RAFAEL,Fishing vessel,663039000
/vessels/details/663138000,SOFIA,Fishing vessel,663138000
/vessels/details/663173000,PERE YANNICK,Fishing vessel,663173000
/vessels/details/663010400,TOUBA,Fishing vessel,663010400
/vessels/details/663306000,SENEGALESE WARSHIP,Military ops,663306000
/vessels/details/663250000,PRAIA DA MAROSA,Fishing vessel,663250000
/vessels/details/663099000,ALMIRANTE,Fishing vessel,663099000
/vessels/details/663116000,CAP ROUGE,Fishing vessel,663116000
/vessels/details/663215513,LIN 21551-3-89,Unknown,663215513
/vessels/details/7529500,APOLLON,Fishing Vessel,7529500
/vessels/details/663219823,LIN 21982-3-32,Unknown,663219823
/vessels/details/6423149,AISSATOU,Fishing Vessel,6423149
/vessels/details/5041126,SAGA CIWOL,Fishing Vessel,5041126
/vessels/details/663999001,63999-1-52,Unknown,663999001
/vessels/details/7053410,BIRKELANE,Fishing Vessel,7053410
/vessels/details/9276107,GOBER 5,Fishing Vessel,9276107
/vessels/details/8209896,ITTIPESCA PRIMO,Fishing Vessel,8209896
/vessels/details/5410195,ARGO,Fishing Vessel,5410195
/vessels/details/663030099,QUANQUAN66303-99-99,Unknown,663030099
/vessels/details/663301636,ZXY33016-36 20,Unknown,663301636
/vessels/details/663137000,SORAYA 1,Fishing vessel,663137000
/vessels/details/663192000,OCEAN PESCA 3,Unknown,663192000
/vessels/details/663218336,LIN 21833-6-94,Unknown,663218336
/vessels/details/663820001,66382-1 83,Other type,663820001
/vessels/details/663999010,63999-10-43,Unknown,663999010
/vessels/details/663219000,MASEOUD 2,Tug,663219000
