url,name,type,imo
/vessels/details/7380277,BUTIYALO THREE,Fishing Vessel,7380277
/vessels/details/8650631,AKGUN BALIKCILIK A,Fishing Vessel,8650631
/vessels/details/7231684,HAYSIMOTWO,Fishing Vessel,7231684
/vessels/details/666001390,SULTANA 2,Cargo ship,666001390
/vessels/details/666268009,666268009 1V,Unknown,666268009
/vessels/details/666520007,66652-7-81,Unknown,666520007
/vessels/details/666111909,66868-9-99,Unknown,666111909
/vessels/details/666668195,LUOI CA 9530 B28 B,Fishing vessel,666668195
/vessels/details/666520004,66652-4-46,Unknown,666520004
/vessels/details/666600004,6666-4-90,Unknown,666600004
/vessels/details/666659910,66599-107.3V,Unknown,666659910
/vessels/details/666207305,6662077-D5-94,Unknown,666207305
/vessels/details/666765333,667653-11,Unknown,666765333
/vessels/details/666550616,65506-16-88,Unknown,666550616
/vessels/details/666170047,LULAIYU-66617-47-99,Unknown,666170047
/vessels/details/666125022,666125-22-87,Unknown,666125022
/vessels/details/666303108,A666-7-60,Unknown,666303108
/vessels/details/666257701,666257701 50,Unknown,666257701
/vessels/details/666660102,HAIBAO66666-2-90,Unknown,666660102
/vessels/details/666688802,666888-2-30,Fishing vessel,666688802
/vessels/details/666666038,666666-38-79,Unknown,666666038
/vessels/details/666405027,64050-2797,Unknown,666405027
/vessels/details/666213886,NETFISHING 7V6,Unknown,666213886
/vessels/details/666600037,6666-37-78,Unknown,666600037
/vessels/details/666712002,666712-02 81,Other type,666712002
/vessels/details/666000311,AL AHMADI,Cargo ship,666000311
/vessels/details/666000146,ARABIAN STAR,Cargo ship,666000146
/vessels/details/666600016,6666-16-58,Unknown,666600016
/vessels/details/666681130,6681130-B6-41,Unknown,666681130
/vessels/details/666000042,666-42-93,Unknown,666000042
/vessels/details/666405001,64050-179,Unknown,666405001
/vessels/details/666600017,6666-17-60,Unknown,666600017
/vessels/details/666860014,MINXIAYU66686-14-68,Unknown,666860014
/vessels/details/666601535,ZHEXIANGYU60037,HSC,666601535
/vessels/details/666200004,6662-4-99,Unknown,666200004
/vessels/details/666125008,TIELONG666125-8-12,Unknown,666125008
/vessels/details/666610168,10168-6666,Unknown,666610168
/vessels/details/666606105,QDY06105-B6-90,Unknown,666606105
/vessels/details/666608888,08888-6,Unknown,666608888
/vessels/details/666410919,64109-A1976,Unknown,666410919
/vessels/details/666004892,35666-20-25,Unknown,666004892
/vessels/details/666600013,6666-13-64,Unknown,666600013
/vessels/details/666670006,66667-6-77,Unknown,666670006
/vessels/details/666888001,666888-1-99,Unknown,666888001
/vessels/details/666000106,YONGSHENG666-06-89,Unknown,666000106
/vessels/details/666000126,AL DAHABI,Cargo ship,666000126
/vessels/details/666406742,64067-42-64,Unknown,666406742
/vessels/details/666000127,AL HAMZA 127,Cargo ship,666000127
/vessels/details/666612003,QIONG LINYU YOU12003,Fishing vessel,666612003
/vessels/details/666601145,16052,Fishing vessel,666601145
/vessels/details/666257742,6662577-42-99,Unknown,666257742
/vessels/details/666170028,LULAIYU-66617-28-01,Unknown,666170028
/vessels/details/666666016,666666-16-99,Unknown,666666016
/vessels/details/666660105,HAIBAO66666-5-62,Unknown,666660105
/vessels/details/666300010,6663-10-99,Unknown,666300010
/vessels/details/666666010,666666-10-93,Unknown,666666010
/vessels/details/666612091,12091-98,Unknown,666612091
/vessels/details/666170029,LULAIYU-66617-29-98,Unknown,666170029
/vessels/details/666816001,666816-32,Unknown,666816001
/vessels/details/666161411,BUOY35503-11-85,Unknown,666161411
/vessels/details/666666626,L 6766-26-99,Unknown,666666626
/vessels/details/666415828,64158-28-02,Unknown,666415828
/vessels/details/666125011,666125-11-99,Unknown,666125011
/vessels/details/666129630,ZHEDAIYU01296-30-75,Unknown,666129630
/vessels/details/666666665,QLY666666665-56,Unknown,666666665
/vessels/details/666660015,66666-15-62,Unknown,666660015
/vessels/details/666520006,66652-06-52,Unknown,666520006
/vessels/details/666415724,64157-24-30,Unknown,666415724
/vessels/details/666405030,64050-3014C,Unknown,666405030
/vessels/details/666437812,666437812 3,Fishing vessel,666437812
/vessels/details/666888888,MINLONGYU61272,Fishing vessel,666888888
/vessels/details/666268003,666268003,Fishing vessel,666268003
/vessels/details/666890005,66689-5-35,Unknown,666890005
/vessels/details/666659666,BIN HAI 789,Tug,666659666
/vessels/details/666257713,6662577-13-85,Unknown,666257713
/vessels/details/666666639,H QUYEN 39C,Cargo ship,666666639
/vessels/details/666415832,64158-32-70,Unknown,666415832
/vessels/details/666669999,22979,Fishing vessel,666669999
/vessels/details/666666028,666666-28-96,Unknown,666666028
/vessels/details/666300011,6663-11-99,Unknown,666300011
/vessels/details/666660005,66666-5-84,Unknown,666660005
