url,name,type,imo
/vessels/details/9379698,LAFIT,Crude Oil Tanker,9379698
/vessels/details/9304629,CHENG HE,Crude Oil Tanker,9304629
/vessels/details/9282479,OLINA,Crude Oil Tanker,9282479
/vessels/details/9388780,BAI LU,Crude Oil Tanker,9388780
/vessels/details/9331153,DELVINA,Crude Oil Tanker,9331153
/vessels/details/9321847,AREIA,Crude Oil Tanker,9321847
/vessels/details/9253325,ROSALIN,Crude Oil Tanker,9253325
/vessels/details/9321562,MAVERICK,Oil Products Tanker,9321562
/vessels/details/9323326,KATY,Chemical/Oil Products Tanker,9323326
/vessels/details/9382712,DENVER,Crude Oil Tanker,9382712
/vessels/details/9135547,SALOME I,Chemical/Oil Products Tanker,9135547
/vessels/details/9561825,INFINITY,Bulk Carrier,9561825
/vessels/details/9128790,HACI HUSEYIN,Bulk Carrier,9128790
/vessels/details/9279824,TANHO,Cement Carrier,9279824
/vessels/details/9128415,DEBBIE,General Cargo Ship,9128415
/vessels/details/9030644,SUN RIO,Ro-Ro Cargo Ship,9030644
/vessels/details/9123881,FLY GURNARD,Oil Products Tanker,9123881
/vessels/details/8357916,HONG YUN YONG HENG,General Cargo Ship,8357916
/vessels/details/1073107,NANCY,General Cargo Ship,1073107
/vessels/details/9084671,DALAL,Chemical/Oil Products Tanker,9084671
/vessels/details/9131101,SUN,LPG Tanker,9131101
/vessels/details/8914128,MORNES,General Cargo Ship,8914128
/vessels/details/9249685,ELISA,LPG Tanker,9249685
/vessels/details/8730132,FREDSI,Fish Factory Ship,8730132
/vessels/details/9083897,AEGINA VENTURE,General Cargo Ship,9083897
/vessels/details/9237814,SOLI DEO GLORIA,Chemical/Oil Products Tanker,9237814
/vessels/details/9198331,DA SHENG,Oil Products Tanker,9198331
/vessels/details/9066473,LEO,Oil Products Tanker,9066473
/vessels/details/9136802,MT DING FONT,Oil Products Tanker,9136802
/vessels/details/9518593,HOANG TRIEU 79,General Cargo Ship,9518593
/vessels/details/8660040,XIN HAI 18,General Cargo Ship,8660040
/vessels/details/9562154,HAI PENG,General Cargo Ship,9562154
/vessels/details/8738768,HOANG TRIEU 39,General Cargo Ship,8738768
/vessels/details/9646118,GOLD SPRING,General Cargo Ship,9646118
/vessels/details/8679364,HOANG TRIEU 99,General Cargo Ship,8679364
/vessels/details/8743749,ORIENTUM PRIME,Refrigerated Cargo Ship,8743749
/vessels/details/9546306,DONG CHENG 7,General Cargo Ship,9546306
/vessels/details/8815308,PRINCESS JOULIA,General Cargo Ship,8815308
/vessels/details/9306859,STRAITS DIGNITY,Oil Products Tanker,9306859
/vessels/details/9252759,VENUS,Chemical/Oil Products Tanker,9252759
/vessels/details/8728024,KAVARNA,General Cargo Ship,8728024
/vessels/details/9373163,JINDONG 9,General Cargo Ship,9373163
/vessels/details/9643752,DE MI,Bulk Carrier,9643752
/vessels/details/8702680,POLARPESCA 2,Fishing Vessel,8702680
/vessels/details/9378967,HUA SHUN DA3,General Cargo Ship,9378967
/vessels/details/9314557,SHENG SHI 557,General Cargo Ship,9314557
