url,name,type,imo
/vessels/details/9232668,MONTELUCIA,Fishing Vessel,9232668
/vessels/details/8919453,MONTEROCIO,Fishing Vessel,8919453
/vessels/details/9698551,SISARGAS,Fishing Vessel,9698551
/vessels/details/8021775,FV MONTELAPE,Fishing Vessel,8021775
/vessels/details/7409152,MONTECELO,Fishing Vessel,7409152
/vessels/details/7409176,MONTEFRISA NUEVE,Fishing Vessel,7409176
/vessels/details/9898541,SAAM CENTZUNAT,Tug,9898541
/vessels/details/8605454,PROTEO,Fishing Vessel,8605454
/vessels/details/359980040,35998-40-91,Unknown,359980040
/vessels/details/9211456,IZALCO,Tug,9211456
/vessels/details/359920005,35992-5-76,Unknown,359920005
/vessels/details/359110002,35911-247,Unknown,359110002
/vessels/details/359588805,ZHESANYU95888-1-99,Unknown,359588805
/vessels/details/359980020,35998-20-71,Unknown,359980020
/vessels/details/359580004,35958-4-97,Unknown,359580004
/vessels/details/359770002,35977-2-79,Unknown,359770002
/vessels/details/359571572,CAU LOI 29 B 12,Cargo ship,359571572
/vessels/details/359216189,LIN21618-9-99,Unknown,359216189
/vessels/details/359190003,359193-34,Unknown,359190003
/vessels/details/359400006,JIN YU MAN 5,Fishing vessel,359400006
/vessels/details/359215869,LIN21586-9-02,Unknown,359215869
/vessels/details/359990038,35999-38-40,Unknown,359990038
/vessels/details/359219199,LIN21919-9-56,Unknown,359219199
/vessels/details/359935990,3599,Fishing vessel,359935990
/vessels/details/359317726,LUJININGHUO7396,Cargo ship,359317726
/vessels/details/359400001,359400001 9,Fishing vessel,359400001
/vessels/details/359980030,35998-30-87,Unknown,359980030
/vessels/details/359588804,ZHESANYU95888-1-98,Unknown,359588804
/vessels/details/359887789,ZHE LU YU 88778-9,Unknown,359887789
/vessels/details/8508060,GRACIAS A DIOS,Fishing Vessel,8508060
/vessels/details/359817505,9155E3YABAB,Unknown,359817505
/vessels/details/359970001,35997-1-74,Unknown,359970001
/vessels/details/359828507,JJJ,Unknown,359828507
/vessels/details/359770020,35977-20-97,Unknown,359770020
/vessels/details/359170002,35917-2-82,Unknown,359170002
/vessels/details/359920007,35992-7-81,Unknown,359920007
/vessels/details/359980045,35998-45-90,Unknown,359980045
/vessels/details/359580006,35958-6-98,Unknown,359580006
/vessels/details/359330003,35933-1-97,Unknown,359330003
/vessels/details/359218879,LIN21887-9-51,Unknown,359218879
/vessels/details/359874526,04826-17 94,Unknown,359874526
/vessels/details/359995619,SAN 99956-19-95,Unknown,359995619
/vessels/details/359218605,FUWANG21860-5-54,Unknown,359218605
/vessels/details/359770037,35977-37-99,Unknown,359770037
/vessels/details/359980002,35998-2-80,Unknown,359980002
/vessels/details/359920003,35992-3-83,Unknown,359920003
/vessels/details/359770032,35977-32-63,Unknown,359770032
/vessels/details/8829440,GOLFO DE FONSECA,Fishing Vessel,8829440
/vessels/details/359770005,35977-5-91,Unknown,359770005
/vessels/details/359980049,35998-49-46,Unknown,359980049
/vessels/details/359770003,35977-3-84,Unknown,359770003
/vessels/details/359770036,35977-36-99,Unknown,359770036
/vessels/details/359910015,35991-15-99,Unknown,359910015
/vessels/details/359412563,18030-10 91,Unknown,359412563
/vessels/details/359990011,35999-11 15,Unknown,359990011
/vessels/details/359980019,35998-19-42,Unknown,359980019
/vessels/details/359980028,35998-28-05,Unknown,359980028
/vessels/details/359770011,35977-11-77,Unknown,359770011
/vessels/details/359990013,35999-13-68,Unknown,359990013
/vessels/details/9136345,ACAJUTLA,Tug,9136345
/vessels/details/359920002,35992-2-74,Unknown,359920002
/vessels/details/9898539,SAAM ACAXUAL,Tug,9898539
/vessels/details/359999991,35999-1-99,Unknown,359999991
/vessels/details/359920015,35992-15-87,Unknown,359920015
/vessels/details/359990026,3599926-93,Unknown,359990026
/vessels/details/359980034,35998-34-75,Unknown,359980034
/vessels/details/359980036,35998-36-82,Unknown,359980036
/vessels/details/359312436,XINGLINHUO6488,Cargo ship,359312436
/vessels/details/359920001,35992-1-63,Unknown,359920001
/vessels/details/359055869,SHENG05586-9-99,Unknown,359055869
/vessels/details/359330001,35933-2 60,Unknown,359330001
/vessels/details/359971061,3599-1-95,Unknown,359971061
/vessels/details/359995618,SAN99956-18-21,Unknown,359995618
/vessels/details/359910013,35991-13-92,Unknown,359910013
/vessels/details/359936655,9AJTWWZ,Fishing vessel,359936655
/vessels/details/359910025,35991-25-99,Unknown,359910025
/vessels/details/359960005,35996-5-55,Unknown,359960005
/vessels/details/359980029,35998-29-92,Unknown,359980029
/vessels/details/359400003,359400003 6,Fishing vessel,359400003
/vessels/details/359898188,LUOI NOI F3 G179,Fishing vessel,359898188
/vessels/details/359990001,35999-1-76,Unknown,359990001
/vessels/details/359980016,35998-16-87,Unknown,359980016
/vessels/details/359770028,35977-28-99,Unknown,359770028
/vessels/details/359980001,35998-1-31,Unknown,359980001
/vessels/details/359874521,04826-15 94,Unknown,359874521
/vessels/details/359190008,35919-8-71,Unknown,359190008
/vessels/details/359920008,35992-8-78,Unknown,359920008
/vessels/details/359910001,35991-1-94,Unknown,359910001
/vessels/details/359910041,35991-41-96,Unknown,359910041
/vessels/details/359920004,35992-4-84,Unknown,359920004
/vessels/details/359123555,LIN12355-5-03,Unknown,359123555
/vessels/details/359584125,04328-11 97,Unknown,359584125
/vessels/details/8605442,ARAUSAL,Fishing Vessel,8605442
/vessels/details/359588802,95888-1-82,Unknown,359588802
/vessels/details/359654125,13235-7 93,Unknown,359654125
/vessels/details/359190007,35919-7-56,Unknown,359190007
/vessels/details/359770009,35977-9-87,Unknown,359770009
/vessels/details/359836372,YUSHUN1688,Other type,359836372
/vessels/details/359181689,LIN18168-9-99,Unknown,359181689
/vessels/details/359400004,359400004 9,Fishing vessel,359400004
/vessels/details/359580007,35958-7-55,Unknown,359580007
/vessels/details/359990016,35999-16 88,Unknown,359990016
/vessels/details/359190005,35919-5-76,Unknown,359190005
/vessels/details/359990002,35999-2-87,Unknown,359990002
/vessels/details/359970002,35997-2-87,Unknown,359970002
/vessels/details/359580008,35958-8-99,Unknown,359580008
/vessels/details/359990025,35999-25 63,Unknown,359990025
/vessels/details/359980041,35998-41-78,Unknown,359980041
/vessels/details/359580003,35958-3-99,Unknown,359580003
/vessels/details/359122189,8412218-9-57,Unknown,359122189
/vessels/details/8829452,FARO DE LIBERTAD,Supply Tender,8829452
/vessels/details/359995620,SAN 99956-20-33,Unknown,359995620
/vessels/details/359970003,35997-3-91,Unknown,359970003
/vessels/details/359496650,05566-38-97,Unknown,359496650
