url,name,type,imo
/vessels/details/9343106,LNGT KARADENIZ,LNG Tanker,9343106
/vessels/details/9231901,PING SHUN,Crude Oil Tanker,9231901
/vessels/details/9273052,SOUFIA 1,Crude Oil Tanker,9273052
/vessels/details/9189110,EVELYN,Crude Oil Tanker,9189110
/vessels/details/9274331,SAN DAMIAN,General Cargo Ship,9274331
/vessels/details/8360688,AMIR,Oil Products Tanker,8360688
/vessels/details/8806321,M.T.MIB1,Bitumen Tanker,8806321
/vessels/details/9119830,MAJID,General Cargo Ship,9119830
/vessels/details/669970637,US GOV VESSEL6,Unknown,669970637
/vessels/details/669782110,AMARRADORES CIEN,Dredging or UW ops,669782110
/vessels/details/669992222,66999-AAA-99,Unknown,669992222
/vessels/details/669703606,68571-06-91,Unknown,669703606
/vessels/details/669584000,LIWA,Pleasure craft,669584000
/vessels/details/669231220,SHENGYU07178-4-72,Unknown,669231220
/vessels/details/669990035,66999-35-54,Unknown,669990035
/vessels/details/669880028,66988-28-97,Unknown,669880028
/vessels/details/669218769,LIN 21876-9-83,Unknown,669218769
/vessels/details/669990025,66999-25-63,Unknown,669990025
/vessels/details/669565030,669565-30-99,Unknown,669565030
/vessels/details/669990044,66999-44-20,Unknown,669990044
/vessels/details/669003557,MH 02,Tug,669003557
/vessels/details/669790002,66979-02 98,Unknown,669790002
/vessels/details/669999888,2017,Unknown,669999888
/vessels/details/669565024,669565-24-99,Unknown,669565024
/vessels/details/669231221,08669-21-99,Unknown,669231221
/vessels/details/669880016,66988-A16-24,Unknown,669880016
/vessels/details/669600006,6696-06-99,Unknown,669600006
/vessels/details/7417197,SV.PK,Offshore Tug/Supply Ship,7417197
/vessels/details/669990042,66999-42-49,Unknown,669990042
/vessels/details/669880029,66988-29-89,Unknown,669880029
/vessels/details/669842159,LUOI CHUON,Fishing vessel,669842159
/vessels/details/669241035,08669-35-91,Unknown,669241035
/vessels/details/8873697,RIVANA,Offshore Tug/Supply Ship,8873697
/vessels/details/669676623,L6766-23-93,Unknown,669676623
