url,name,type,imo
/vessels/details/364888400,ROBERT MUDD,Unknown,364888400
/vessels/details/364088873,MINXIAYU08887-3-73,Unknown,364088873
/vessels/details/364970632,06748-B12-86,Unknown,364970632
/vessels/details/364216222,LIN21622-2-99,Unknown,364216222
/vessels/details/364546711,JLY03997-09-96,Unknown,364546711
/vessels/details/364721372,LG 21372-367.6V,Unknown,364721372
/vessels/details/364123398,LIN 12339-8-94,Unknown,364123398
/vessels/details/364215884,LIN21588-4-80,Unknown,364215884
/vessels/details/364933127,XIANG49331-27-73,Unknown,364933127
/vessels/details/364212511,LIN21251-1-58,Unknown,364212511
/vessels/details/364565732,LIUJIANJUN-02-89,Unknown,364565732
/vessels/details/364440003,LHY 36444-3 7V5,Unknown,364440003
/vessels/details/364218692,LIN21869-2-75,Unknown,364218692
/vessels/details/364216784,LIN21678-4-84,Unknown,364216784
/vessels/details/364721579,LG 21579-368.0V,Unknown,364721579
/vessels/details/364925097,07088-B17-42,Unknown,364925097
/vessels/details/364574329,ZHUZHENMING02058-06,Unknown,364574329
/vessels/details/364300405,KOREA84 B11,Fishing vessel,364300405
/vessels/details/364970657,06066-B7-57,Unknown,364970657
/vessels/details/364970608,06264-08-06,Unknown,364970608
/vessels/details/364418185,NGOC-GIAUF1F20,Fishing vessel,364418185
/vessels/details/364647096,NET MARK-64696-5,Fishing vessel,364647096
/vessels/details/364123784,LIN 12378-4-99,Unknown,364123784
/vessels/details/364218596,LIN 21859-9-72,Unknown,364218596
/vessels/details/364574335,ZHUZHENMING02058-12,Unknown,364574335
/vessels/details/364970656,06066-B6-99,Unknown,364970656
/vessels/details/364565734,LIUJIANJUN-17-95,Unknown,364565734
/vessels/details/364650394,LONG MUC B21 G 06,Fishing vessel,364650394
/vessels/details/364370001,36437-1-99,Unknown,364370001
/vessels/details/364970621,11908-01-38,Unknown,364970621
/vessels/details/364101995,SHENG10199-5-13,Unknown,364101995
/vessels/details/364712880,LG12880-368.0V,Unknown,364712880
/vessels/details/364215555,LIN 21555-5-96,Unknown,364215555
/vessels/details/364846525,7688-8-99,Unknown,364846525
/vessels/details/364219785,LIN21978-5-72,Unknown,364219785
/vessels/details/364878060,CAU-LOITINH-BAOB23,Fishing vessel,364878060
/vessels/details/364550036,FC-CU SON LUOIC28B35,Port tender,364550036
/vessels/details/364122184,LIM12218-4-99,Unknown,364122184
/vessels/details/364889607,CAU L0I 007 E 40,Fishing vessel,364889607
/vessels/details/364970634,06748-B14-76,Unknown,364970634
/vessels/details/364210579,LIN21057-9-72,Unknown,364210579
/vessels/details/364009812,SAN00981-2-62,Unknown,364009812
/vessels/details/364789016,RAP XEP09 C27,Fishing vessel,364789016
/vessels/details/364212017,LIN 21201-7-99,Unknown,364212017
/vessels/details/364055884,SHENG05588-4-95,Unknown,364055884
/vessels/details/364240026,XIANG24002-6-69,Unknown,364240026
/vessels/details/364219534,LIN21953-4-99,Unknown,364219534
/vessels/details/364574334,ZHUZHENMING02058-11,Unknown,364574334
/vessels/details/364464006,LG-PHUOC SANG B35D39,Fishing vessel,364464006
/vessels/details/364219054,LIN21905-4-63,Unknown,364219054
/vessels/details/364288410,MAAN FENG YU-10,Unknown,364288410
/vessels/details/364158964,04788-9 91,Unknown,364158964
/vessels/details/364618806,YUEDIANYU46188-6-91,Unknown,364618806
/vessels/details/364574325,ZHUZHENMING02058-02,Unknown,364574325
/vessels/details/364121354,LIN 12135-4-91,Unknown,364121354
/vessels/details/364370002,36437-2-99,Unknown,364370002
/vessels/details/364901822,LG01822-36-52,Unknown,364901822
/vessels/details/364212558,LIN 21255-8-95,Unknown,364212558
/vessels/details/364709999,LG 09999-367.7V,Unknown,364709999
/vessels/details/364710705,XIANG71070-5-92,Unknown,364710705
/vessels/details/364970651,06066-B1-56,Unknown,364970651
/vessels/details/364216884,LIN 21688-4-56,Unknown,364216884
/vessels/details/364970631,06748-B11-30,Unknown,364970631
