url,name,type,imo
/vessels/details/670200020,67020-20-61,Unknown,670200020
/vessels/details/670690109,67069-I-86,Unknown,670690109
/vessels/details/670260006,ZHEXIANG67026-06-99,Unknown,670260006
/vessels/details/670075115,LIAOWAYU75115,Fishing vessel,670075115
/vessels/details/670281811,SAN 02818-11-82,Unknown,670281811
/vessels/details/670130820,01308-20-49,Unknown,670130820
/vessels/details/670582775,05827-75-86,Unknown,670582775
/vessels/details/670000741,SONCHON4010,Unknown,670000741
/vessels/details/670284934,02849-34-63,Unknown,670284934
/vessels/details/670576843,05768-43-99,Unknown,670576843
/vessels/details/670132626,01326-26-48,Unknown,670132626
/vessels/details/670960001,ZHEXIANGYU67096-1,Unknown,670960001
/vessels/details/670200019,67020-19-56,Unknown,670200019
/vessels/details/670000015,670000015 7V,Unknown,670000015
/vessels/details/670078169,WEI07816-9-89,Unknown,670078169
/vessels/details/670000725,SONCHON4007,Unknown,670000725
/vessels/details/670200003,67020-3-90,Unknown,670200003
/vessels/details/670960027,ZHEXIANGYU67096-27,Unknown,670960027
/vessels/details/670960005,ZHEXIANGYU67096-5,Unknown,670960005
/vessels/details/670880012,ZXY-67088-12,Unknown,670880012
/vessels/details/670880017,67088-17-80,Unknown,670880017
/vessels/details/670200013,67020-13-48,Unknown,670200013
/vessels/details/670889818,08898-18-99,Unknown,670889818
/vessels/details/670880018,67088-18-74,Unknown,670880018
/vessels/details/670266947,02669-47-74,Unknown,670266947
/vessels/details/670880014,ZXY67088-14-54,Unknown,670880014
/vessels/details/670960002,ZHEXIANGYU67096-2,Unknown,670960002
/vessels/details/670149501,01495-1-84,Unknown,670149501
/vessels/details/670976325,42105-25-71,Unknown,670976325
/vessels/details/670200018,67020-18-53,Unknown,670200018
/vessels/details/670200014,67020-14-46,Unknown,670200014
/vessels/details/670266928,02669-28-52,Unknown,670266928
/vessels/details/670880015,67088-15-62,Unknown,670880015
/vessels/details/670519907,051199-7-58,Unknown,670519907
/vessels/details/670200017,67020-17-57,Unknown,670200017
/vessels/details/670000759,SONCHON4011,Unknown,670000759
/vessels/details/670200016,67020-16-50,Unknown,670200016
/vessels/details/670519903,05199-3-63,Unknown,670519903
