url,name,type,imo
/vessels/details/9205093,GRACE STAR,FSO,9205093
/vessels/details/9196618,AQUARIUS STAR,FSO,9196618
/vessels/details/9180891,PHOENIX STAR,FSO,9180891
/vessels/details/9936525,ZIM BANGKOK,Container Ship,9936525
/vessels/details/9936513,ZIM THAILAND,Container Ship,9936513
/vessels/details/9343211,G1FSO,FSO,9343211
/vessels/details/8910902,MIURA,LPG Tanker,8910902
/vessels/details/9006679,MING LONG,LPG Tanker,9006679
/vessels/details/9751248,SUNISA NAREE,Bulk Carrier,9751248
/vessels/details/9726413,SARITA NAREE,Bulk Carrier,9726413
/vessels/details/9726425,SARIKA NAREE,Bulk Carrier,9726425
/vessels/details/9732187,ISSARA NAREE,Bulk Carrier,9732187
/vessels/details/9732199,INTHIRA NAREE,Bulk Carrier,9732199
/vessels/details/9610884,JERA,Bulk Carrier,9610884
/vessels/details/9434735,KANCHANA NAREE,Bulk Carrier,9434735
/vessels/details/9434723,KIRANA NAREE,Bulk Carrier,9434723
/vessels/details/9353668,WARIYA NAREE,Bulk Carrier,9353668
/vessels/details/9343417,WARISA NAREE,Bulk Carrier,9343417
/vessels/details/9326146,THOR FUTURE,Bulk Carrier,9326146
/vessels/details/9315862,GANTA BHUM,Container Ship,9315862
/vessels/details/9703423,NAPHA NAREE,Bulk Carrier,9703423
/vessels/details/9293234,URU BHUM,Container Ship,9293234
/vessels/details/9293246,VIRA BHUM,Container Ship,9293246
/vessels/details/9649885,PAVIDA NAREE,Bulk Carrier,9649885
/vessels/details/9649861,PHATRA NAREE,Bulk Carrier,9649861
/vessels/details/9496939,LANNA NAREE,Bulk Carrier,9496939
/vessels/details/9496941,LATIKA NAREE,Bulk Carrier,9496941
/vessels/details/9502752,SF DARIKA,Bulk Carrier,9502752
/vessels/details/9502726,SF CHALISA,Bulk Carrier,9502726
/vessels/details/9584293,EAST AYUTTHAYA,Bulk Carrier,9584293
/vessels/details/9659490,EAST BANGKOK,Bulk Carrier,9659490
/vessels/details/9487043,SFYC ARAYA,General Cargo Ship,9487043
/vessels/details/9354741,MOOKDA NAREE,Bulk Carrier,9354741
/vessels/details/9323649,MAYUREE NAREE,Bulk Carrier,9323649
/vessels/details/9354739,MALLIKA NAREE,Bulk Carrier,9354739
/vessels/details/9302906,NALINEE NAREE,General Cargo Ship,9302906
/vessels/details/9937775,NATTHA BHUM,Container Ship,9937775
/vessels/details/9801500,LALIT BHUM,Container Ship,9801500
/vessels/details/9796274,JARU BHUM,Container Ship,9796274
/vessels/details/9801512,MAKHA BHUM,Container Ship,9801512
/vessels/details/9796286,KHUNA BHUM,Container Ship,9796286
/vessels/details/9173070,HELIUM GAS,LPG Tanker,9173070
/vessels/details/9576894,SEA ORIENTAL,General Cargo Ship,9576894
/vessels/details/9576882,SEA WISDOM,General Cargo Ship,9576882
/vessels/details/9491721,INTRA BHUM,Container Ship,9491721
/vessels/details/9491719,SIRI BHUM,Container Ship,9491719
/vessels/details/9465394,FREDENSBORG,General Cargo Ship,9465394
/vessels/details/9439321,ULAYA,Chemical/Oil Products Tanker,9439321
/vessels/details/9461714,ANIKA,Chemical/Oil Products Tanker,9461714
/vessels/details/9437490,JUTHA MALEE,General Cargo Ship,9437490
