url,name,type,imo
/vessels/details/472600010,CT3-4726-10 90,Unknown,472600010
/vessels/details/472600009,CT3-4726-9 90,Unknown,472600009
/vessels/details/472396001,ZHONGTIEJINGJIE1HAO,Other type,472396001
/vessels/details/472623282,ABAIDYAUA,Unknown,472623282
/vessels/details/472347602,ZHONGXING,Other type,472347602
/vessels/details/472159607,ZHELINYU21596-07-99,Unknown,472159607
/vessels/details/472139510,KNS21395-010-99,Unknown,472139510
/vessels/details/472600011,4726-11 70,Unknown,472600011
/vessels/details/472139515,KNS21395-015-87,Unknown,472139515
/vessels/details/472139520,KNS21395-020-91,Unknown,472139520
/vessels/details/472600015,CT3-4726-15 90,Unknown,472600015
/vessels/details/472421825,ZHE21825-78.0V,Unknown,472421825
/vessels/details/472139502,KNS21395-002-93,Unknown,472139502
/vessels/details/472483000,CHENGXIANG32,Unknown,472483000
/vessels/details/472600014,CT3-4726-14 90,Unknown,472600014
/vessels/details/472629000,R616,Unknown,472629000
/vessels/details/472139508,KNS21395-008-99,Unknown,472139508
/vessels/details/472139503,KNS21395-003-37,Unknown,472139503
/vessels/details/472321008,LIAODANYU25460,Fishing vessel,472321008
/vessels/details/472221938,LXK21938-78.0V,Unknown,472221938
/vessels/details/472600005,CT3-4726-5 90,Unknown,472600005
/vessels/details/472139519,KNS21395-019-72,Unknown,472139519
/vessels/details/472452221,55588,Fishing vessel,472452221
/vessels/details/472600003,CT3-4726-3 90,Unknown,472600003
/vessels/details/472600012,4726-12 90,Unknown,472600012
/vessels/details/472139507,KNS21395-007-99,Unknown,472139507
/vessels/details/472139504,KNS21395-004-99,Unknown,472139504
/vessels/details/472139518,KNS21395-018-97,Unknown,472139518
/vessels/details/472139517,KNS21395-017-99,Unknown,472139517
/vessels/details/472600001,CT3-4726-1 90,Unknown,472600001
/vessels/details/472321815,LXK21815-78.0V,Unknown,472321815
/vessels/details/472128819,LIN 21288-19-88,Unknown,472128819
/vessels/details/472612036,12036,Fishing vessel,472612036
/vessels/details/472600002,CT3-4726-2 90,Unknown,472600002
/vessels/details/472600006,4726-06-6 90,Unknown,472600006
/vessels/details/472335837,GWVQEVIOWAWTUUPEQ7,Other type,472335837
/vessels/details/472600008,4726-8 90,Unknown,472600008
/vessels/details/472139505,KNS21395-005-37,Unknown,472139505
/vessels/details/472139513,KNS21395-013-11,Unknown,472139513
/vessels/details/472621929,YUEQINGYUANHUO2982,Cargo ship,472621929
/vessels/details/472429090,00686,Fishing vessel,472429090
/vessels/details/472441822,MIN DONG YU 00558,Fishing vessel,472441822
/vessels/details/472625505,YPEQINSYUANHUO1251,Cargo ship,472625505
/vessels/details/472503842,HW 0,WIG (HAZ-B),472503842
/vessels/details/472600013,CT3-4726-13 90,Unknown,472600013
/vessels/details/472600007,CT3-4726-7 90,Unknown,472600007
/vessels/details/472139501,KNS21395-001-69,Unknown,472139501
/vessels/details/472139516,KNS21395-016-38,Unknown,472139516
/vessels/details/472528516,YU 39033 -H 99,Unknown,472528516
/vessels/details/472938154,ARPON INFINITY,Port tender,472938154
/vessels/details/472936851,5328,Fishing vessel,472936851
/vessels/details/472900012,4729-12-99,Unknown,472900012
/vessels/details/472621831,LXK21831-77.1V,Unknown,472621831
/vessels/details/472159609,ZHELINYU21596-09-99,Unknown,472159609
/vessels/details/472139509,KNS21395-009-91,Unknown,472139509
/vessels/details/472600004,CT3-4726-4 90,Unknown,472600004
/vessels/details/472443218,62377-10 66,Unknown,472443218
/vessels/details/472139512,KNS21395-012-20,Unknown,472139512
/vessels/details/472320046,LURONGYU56790,Fishing vessel,472320046
/vessels/details/472199812,ZHE21998-12-79,Unknown,472199812
/vessels/details/472139514,KNS21395-014-01,Unknown,472139514
/vessels/details/472139511,KNS21395-011-99,Unknown,472139511
/vessels/details/472154121,8693,Pleasure craft,472154121
