url,name,type,imo
/vessels/details/9236353,BLUE,Crude Oil Tanker,9236353
/vessels/details/9293117,SUN,Crude Oil Tanker,9293117
/vessels/details/9292503,TORERO M,Crude Oil Tanker,9292503
/vessels/details/9283306,FINA A,Crude Oil Tanker,9283306
/vessels/details/9385233,BAYAZE D,Bulk Carrier,9385233
/vessels/details/9335472,KMP.BERLIN NAKROMA,Passenger/Ro-Ro Cargo Ship,9335472
/vessels/details/7211440,CONSCIENCE,Passenger Ship,7211440
/vessels/details/550585604,NET05856491,Unknown,550585604
/vessels/details/550560904,05609-4-99,Unknown,550560904
/vessels/details/9911393,BERLIN-RAMELAU,Passenger/Ro-Ro Cargo Ship,9911393
/vessels/details/550080296,80296-2-93,Unknown,550080296
/vessels/details/550320025,168-25-99,Unknown,550320025
/vessels/details/550230014,LIAOYING55023-14-94,Unknown,550230014
/vessels/details/550950017,55095-17-42,Unknown,550950017
/vessels/details/550298606,02986-16-90,Unknown,550298606
/vessels/details/550066721,02788-2-99,Unknown,550066721
/vessels/details/550537963,05379-63-90,Unknown,550537963
/vessels/details/550448163,04481-63-99,Unknown,550448163
/vessels/details/550320006,55032-6-41,Unknown,550320006
/vessels/details/550520836,05208-36-89,Unknown,550520836
/vessels/details/550610027,LIAODAYU55061-27-15,Unknown,550610027
/vessels/details/550579750,05797-50-29,Unknown,550579750
/vessels/details/550320313,55032-13-99,Unknown,550320313
/vessels/details/550289710,02897-10-06,Unknown,550289710
/vessels/details/550450067,55045-67-81,Unknown,550450067
/vessels/details/550448160,04481-60-85,Unknown,550448160
/vessels/details/550270705,SUGANYU02707-05-60,Unknown,550270705
/vessels/details/550578706,05787-6-92,Unknown,550578706
/vessels/details/550526935,05269-35-99,Unknown,550526935
/vessels/details/550610020,LIAODAYU55061-20-93,Unknown,550610020
/vessels/details/550230005,LIAOYING55023-05-90,Unknown,550230005
/vessels/details/550802963,80296-3-41,Unknown,550802963
/vessels/details/550495605,04956-5-86,Unknown,550495605
/vessels/details/550600121,YU 06001-21-63,Unknown,550600121
/vessels/details/550950016,55095-16-99,Unknown,550950016
/vessels/details/550529843,SUGANYU05298-43-58,Unknown,550529843
/vessels/details/550851032,YU 08510-32-01,Unknown,550851032
/vessels/details/550779506,YU 07795-6-82,Unknown,550779506
/vessels/details/550206706,SUGANYU02067-06-86,Unknown,550206706
/vessels/details/550200815,02008-15-99,Unknown,550200815
/vessels/details/550212807,BIAO 02129-7-82,Unknown,550212807
/vessels/details/550661891,LUJIAOYU60618-91-78,Unknown,550661891
