url,name,type,imo
/vessels/details/9592202,JEYHUN,Oil Products Tanker,9592202
/vessels/details/9430208,BITARAP,Chemical/Oil Products Tanker,9430208
/vessels/details/9065950,BALKAN,General Cargo Ship,9065950
/vessels/details/8412003,MARCO POLO,General Cargo Ship,8412003
/vessels/details/9463530,JUMEIRAH,Offshore Tug/Supply Ship,9463530
/vessels/details/9544293,TOPAZ RESPONDER,Standby Safety Vessel,9544293
/vessels/details/9589504,ILK TURKMEN,Offshore Tug/Supply Ship,9589504
/vessels/details/9452115,NT RESCUE,Offshore Tug/Supply Ship,9452115
/vessels/details/9595292,PHOENIX-I,Utility Vessel,9595292
/vessels/details/9384289,DZHIGIT,Pusher Tug,9384289
/vessels/details/9665205,NURANA,Offshore Tug/Supply Ship,9665205
/vessels/details/6727040,SADKO,Tug,6727040
/vessels/details/434546474,MS-UNTERGANG,Pleasure craft,434546474
/vessels/details/8411059,ATLET-1,Crane Ship,8411059
/vessels/details/9626625,CASPIAN DRILLER,Platform,9626625
/vessels/details/9560869,BAYAN,Offshore Tug/Supply Ship,9560869
/vessels/details/434083511,62169,HSC,434083511
/vessels/details/9751274,BALYKCHY,Fishing Vessel,9751274
/vessels/details/434699413,ZHEPUYU43469-13-80,Unknown,434699413
/vessels/details/434113516,TEBIGAT,Anti-polution,434113516
/vessels/details/434956362,JINGHANYU04278,Fishing vessel,434956362
/vessels/details/8937211,GAC TRIP,Offshore Tug/Supply Ship,8937211
/vessels/details/434132300,ILK BALKAN,Towing vessel,434132300
/vessels/details/434567844,MIN01599-44-37,Unknown,434567844
/vessels/details/434599427,LINGHANG198,Cargo ship,434599427
/vessels/details/434969418,ZHEPUYU43469-5,Unknown,434969418
/vessels/details/9605968,ASMAN,Offshore Tug/Supply Ship,9605968
/vessels/details/434721372,LG 21372-437.8V,Unknown,434721372
/vessels/details/9692870,AYLAR,Offshore Tug/Supply Ship,9692870
/vessels/details/8771887,NEPTUNE,Drilling Ship,8771887
/vessels/details/434127200,TOPAZ JOHOR,Other type,434127200
/vessels/details/434130300,SATURN,Other type,434130300
/vessels/details/9549932,YYLDYZ,Offshore Tug/Supply Ship,9549932
/vessels/details/1061154,GADAMLY,General Cargo Ship,1061154
/vessels/details/8934192,ELIF,General Cargo Ship,8934192
/vessels/details/9236298,ATAMYRAT NIYAZOV,Oil Products Tanker,9236298
/vessels/details/9445435,GALKYNYSH,Yacht,9445435
/vessels/details/434125600,YYLDYRYM,Unknown,434125600
/vessels/details/434800003,4348-3-99,Unknown,434800003
/vessels/details/9701499,ALEM,Tug,9701499
/vessels/details/9369643,ILKCILAVUZ,Offshore Tug/Supply Ship,9369643
/vessels/details/434132000,ILK DANE,Unknown,434132000
/vessels/details/9684330,BERKARAR,Passenger/Ro-Ro Cargo Ship,9684330
/vessels/details/434800007,4348-7-99,Unknown,434800007
/vessels/details/434567888,QUANTUM STAR,Cargo ship,434567888
/vessels/details/434005994,SAN00599-4-73,Unknown,434005994
/vessels/details/434343304,P9 LXU 12 B4089,Unknown,434343304
/vessels/details/434553333,00000,Cargo ship,434553333
/vessels/details/434800002,4348-2-99,Unknown,434800002
/vessels/details/9435387,MT SUMBAR,Oil Products Tanker,9435387
/vessels/details/7914468,SANJAR,Offshore Tug/Supply Ship,7914468
/vessels/details/434800004,4348-4-99,Unknown,434800004
/vessels/details/8863006,MAGTYMGULY,General Cargo Ship,8863006
/vessels/details/434567841,MIN01599-41-32,Unknown,434567841
/vessels/details/434857044,LUCHENGYU60828-5 77,Unknown,434857044
/vessels/details/434114220,TYK ALEM,Tug,434114220
/vessels/details/434344402,HUANGQIMEI-02-99,Unknown,434344402
/vessels/details/434205203,42052-3-86,Unknown,434205203
/vessels/details/9435399,HAZAR,Oil Products Tanker,9435399
/vessels/details/9576557,DUNYA,Tug,9576557
/vessels/details/7030195,PAVEL BESSHAPOCHNYY,Offshore Tug/Supply Ship,7030195
/vessels/details/9702663,ALAJA,Oil Products Tanker,9702663
/vessels/details/9854296,YYLDYRYM,Fire Fighting Vessel,9854296
/vessels/details/434465706,62.CMK,Unknown,434465706
/vessels/details/434613356,136,Fishing vessel,434613356
