url,name,type,imo
/vessels/details/9063079,IFRIKIA III,Crude Oil Tanker,9063079
/vessels/details/8613736,THAPSUS,FSO,8613736
/vessels/details/9598579,TANIT,Passenger/Ro-Ro Cargo Ship,9598579
/vessels/details/9185396,CARTHAGE,Passenger/Ro-Ro Cargo Ship,9185396
/vessels/details/9207998,AMILCAR,Ro-Ro Cargo Ship,9207998
/vessels/details/9208007,ELYSSA,Ro-Ro Cargo Ship,9208007
/vessels/details/9142459,ULYSSE,Passenger/Ro-Ro Cargo Ship,9142459
/vessels/details/9142461,SALAMMBO,Passenger/Ro-Ro Cargo Ship,9142461
/vessels/details/9244192,LA GALITE,Container Ship,9244192
/vessels/details/8524179,CERCINA,Passenger/Ro-Ro Cargo Ship,8524179
/vessels/details/9375587,ISKANDER,General Cargo Ship,9375587
/vessels/details/9819727,SYPHAX,Patrol Vessel,9819727
/vessels/details/9821770,SOPHONISBE,Patrol Vessel,9821770
/vessels/details/9821768,HANNON,Patrol Vessel,9821768
/vessels/details/9537836,SAROST 5,Offshore Tug/Supply Ship,9537836
/vessels/details/9875575,EL MOUHIT,Passenger/Ro-Ro Cargo Ship,9875575
/vessels/details/9803766,HABIB ACHOUR,Passenger/Ro-Ro Cargo Ship,9803766
/vessels/details/8308537,MV ASHTART,Offshore Tug/Supply Ship,8308537
/vessels/details/8524741,LOUD TUNISIE,Passenger/Ro-Ro Cargo Ship,8524741
/vessels/details/8310918,MARIDIVE 9,Offshore Tug/Supply Ship,8310918
/vessels/details/9028378,HACHED,Passenger/Ro-Ro Cargo Ship,9028378
/vessels/details/9210177,TACAPES,Tug,9210177
/vessels/details/8222226,EL ABBASSIA,Passenger/Ro-Ro Cargo Ship,8222226
/vessels/details/8315970,ISIS,Offshore Tug/Supply Ship,8315970
/vessels/details/9210165,SYPHAX,Tug,9210165
/vessels/details/8408923,RAFRAF,Tug,8408923
/vessels/details/9210189,IBN ROCHD,Tug,9210189
/vessels/details/7939107,AL KARIM,Fishing Vessel,7939107
/vessels/details/8436712,MEIMOUN,Fishing Vessel,8436712
/vessels/details/8524923,WALI-ALLAH,Fishing Vessel,8524923
/vessels/details/7125809,ASSAHBI,Tug,7125809
/vessels/details/9896464,MOHAMED CHIHEB,Fishing Vessel,9896464
/vessels/details/8333776,DENPHIR I,Fishing Vessel,8333776
/vessels/details/8785280,MOHAMED RABAH,Fishing Vessel,8785280
/vessels/details/8139364,VIKING,Tug,8139364
/vessels/details/8538326,JAAFAR,Fishing Vessel,8538326
/vessels/details/8524507,EL HAJJ EL HAMMALI,Fishing Vessel,8524507
/vessels/details/672746000,RAIES EZZI SO713,Fishing vessel,672746000
/vessels/details/672734000,WOLOKO,Pleasure craft,672734000
/vessels/details/672720000,MAHIRA,Towing vessel,672720000
/vessels/details/672101000,ZEMBRA2,Fishing vessel,672101000
/vessels/details/672543000,MOHSEN,Fishing vessel,672543000
/vessels/details/672537000,MOHAMED ADEM,Fishing vessel,672537000
/vessels/details/672000364,ROSE SELAVY,Sailing vessel,672000364
