url,name,type,imo
/vessels/details/9242120,TIANMA,Crude Oil Tanker,9242120
/vessels/details/9346732,TK SCORPIO,Crude Oil Tanker,9346732
/vessels/details/9238052,FREYA,Crude Oil Tanker,9238052
/vessels/details/9392822,LOTUS,Crude Oil Tanker,9392822
/vessels/details/9237412,HANSON,Crude Oil Tanker,9237412
/vessels/details/9271406,MT LBS,Crude Oil Tanker,9271406
/vessels/details/9275660,AEGIS,Crude Oil Tanker,9275660
/vessels/details/9198290,MD MIRANDA,Oil Products Tanker,9198290
/vessels/details/9570357,OTUANGAOFA,Passenger/Ro-Ro Cargo Ship,9570357
/vessels/details/7805095,NIUVAKAI,Ro-Ro Cargo Ship,7805095
/vessels/details/9190690,TAKA-I-POMANA,Passenger/Ro-Ro Cargo Ship,9190690
/vessels/details/9178484,KOE KELESI PE,Passenger/General Cargo Ship,9178484
/vessels/details/4734128,VOEA NGAHAU KOULA,Patrol Vessel,4734128
/vessels/details/9771597,TONGIAKI,Passenger Ship,9771597
/vessels/details/570121940,ALAF TIGA,Pilot,570121940
/vessels/details/570456611,04566-11-99,Unknown,570456611
/vessels/details/570581696,05816-96-97,Unknown,570581696
/vessels/details/570498636,SUGANYU04986-36-74,Unknown,570498636
/vessels/details/570935847,SUQIYU09358-47-87,Unknown,570935847
/vessels/details/570935635,SUQIYU09356-35-54,Unknown,570935635
/vessels/details/570941106,09411-6-83,Unknown,570941106
/vessels/details/570443359,04433-59-99,Unknown,570443359
/vessels/details/570498644,SUGANYU04986-44-81,Unknown,570498644
/vessels/details/570463828,04638-28-81,Unknown,570463828
/vessels/details/570448905,04489-5-98,Unknown,570448905
/vessels/details/570449021,04490-21-86,Unknown,570449021
/vessels/details/570300309,YU 03003-9-50,Unknown,570300309
/vessels/details/570448663,04486-63-54,Unknown,570448663
/vessels/details/570448175,04481-75-92,Unknown,570448175
/vessels/details/570498622,SUGANYU04986-22-98,Unknown,570498622
/vessels/details/570417720,YU 04177-20-88,Unknown,570417720
/vessels/details/570941109,09411-9-94,Unknown,570941109
/vessels/details/570463825,04638-25-97,Unknown,570463825
/vessels/details/570273989,02739-89-99,Unknown,570273989
/vessels/details/570442651,MAOWANG04426-51-96,Unknown,570442651
/vessels/details/570425381,VINH PHUOC 168,Cargo ship,570425381
/vessels/details/570945540,09455-40-81,Unknown,570945540
/vessels/details/570417718,YU 04177-18-72,Unknown,570417718
/vessels/details/570426827,04268-27-79,Unknown,570426827
/vessels/details/570443339,04433-39-58,Unknown,570443339
/vessels/details/570000506,35888-4 80,Unknown,570000506
/vessels/details/570933719,SUGANYU09337-19-99,Unknown,570933719
/vessels/details/570215729,02157-29-94,Unknown,570215729
/vessels/details/570441818,04418-18-99,Unknown,570441818
/vessels/details/570468928,04689-28-92,Unknown,570468928
/vessels/details/570463811,04638-11-62,Unknown,570463811
/vessels/details/570033324,YU 00333-24-52,Unknown,570033324
/vessels/details/570401321,04013-21-98,Unknown,570401321
/vessels/details/570933737,SUGANYU09337-37-80,Unknown,570933737
/vessels/details/570463802,04638-2-75,Unknown,570463802
/vessels/details/570570838,05708-38-73,Unknown,570570838
/vessels/details/570499224,SUGANYU04992-24-99,Unknown,570499224
/vessels/details/570566302,05663-2-61,Unknown,570566302
/vessels/details/570468921,04689-21-65,Unknown,570468921
/vessels/details/570006741,00067-41-97,Unknown,570006741
/vessels/details/570498634,SUGANYU04986-34-83,Unknown,570498634
/vessels/details/570496917,SUGANYU04969-17-74,Unknown,570496917
/vessels/details/570496939,SUGANYU04969-39-96,Unknown,570496939
/vessels/details/570496921,SUGANYU04969-21-82,Unknown,570496921
/vessels/details/570562166,05621-66-43,Unknown,570562166
/vessels/details/6514144,TAVAKE,Fishing Vessel,6514144
/vessels/details/570566312,05663-12-70,Unknown,570566312
/vessels/details/570496952,SUGANYU04969-52-99,Unknown,570496952
/vessels/details/570449637,04496-37-65,Unknown,570449637
/vessels/details/570807811,SUQIYU08078-11-61,Unknown,570807811
/vessels/details/570562185,05621-85-02,Unknown,570562185
/vessels/details/570960111,09601-11-72,Unknown,570960111
/vessels/details/570443357,04433-57-33,Unknown,570443357
/vessels/details/570441820,04418-20-99,Unknown,570441820
/vessels/details/570421832,04218-32-99,Unknown,570421832
/vessels/details/570421806,04218-6-22,Unknown,570421806
/vessels/details/570449639,04496-39-90,Unknown,570449639
/vessels/details/570519644,05196-44-85,Unknown,570519644
/vessels/details/570006714,00067-14-88,Unknown,570006714
/vessels/details/570566324,05663-24-69,Unknown,570566324
/vessels/details/570456623,04566-23-60,Unknown,570456623
/vessels/details/570468927,04689-27-82,Unknown,570468927
/vessels/details/570562175,05621-75-39,Unknown,570562175
/vessels/details/570471000,PALETUA 2,Law enforcment,570471000
/vessels/details/570721381,LIN21381-19,Unknown,570721381
/vessels/details/570468931,04689-31-86,Unknown,570468931
/vessels/details/570496944,SUGANYU04969-44-99,Unknown,570496944
/vessels/details/570960108,09601-8-92,Unknown,570960108
/vessels/details/570496914,SUGANYU04969-14-99,Unknown,570496914
/vessels/details/570566304,05663-4-68,Unknown,570566304
/vessels/details/570401322,04013-22-30,Unknown,570401322
/vessels/details/570566320,05663-20-61,Unknown,570566320
/vessels/details/570448913,04489-13-97,Unknown,570448913
/vessels/details/570498642,SUGANYU04986-42-75,Unknown,570498642
/vessels/details/570273988,02739-88-99,Unknown,570273988
/vessels/details/570933727,SUGANYU09337-27-99,Unknown,570933727
