url,name,type,imo
/vessels/details/9590008,SOLDIER,Crude Oil Tanker,9590008
/vessels/details/9221918,KITAKAZE,Crude Oil Tanker,9221918
/vessels/details/9136058,FOREVER,Crude Oil Tanker,9136058
/vessels/details/9147447,TIA,Crude Oil Tanker,9147447
/vessels/details/9298272,VALENTE,Crude Oil Tanker,9298272
/vessels/details/9116682,LADY SHINE,Bulk Carrier,9116682
/vessels/details/9208473,ANGEL K,Chemical/Oil Products Tanker,9208473
/vessels/details/9142150,AKOYA GAS,LPG Tanker,9142150
/vessels/details/8506361,BASHAR ONE TRANSPORT,Livestock Carrier,8506361
/vessels/details/9205627,SEIYO LUCKY,Bulk Carrier,9205627
/vessels/details/9113886,HERO SD,Bulk Carrier,9113886
/vessels/details/9151917,HOPE CHLOE,Container Ship,9151917
/vessels/details/9227869,EAGLE 1,Bulk Carrier,9227869
/vessels/details/8740967,JIN MING 68,Bulk Carrier,8740967
/vessels/details/9444170,NANA MOON,General Cargo Ship,9444170
/vessels/details/7704617,AVRASYA,Ro-Ro Cargo Ship,7704617
/vessels/details/7819113,YOSOR,Livestock Carrier,7819113
/vessels/details/9512434,SUNGARI,General Cargo Ship,9512434
/vessels/details/9035838,MT-ASANA,Chemical/Oil Products Tanker,9035838
/vessels/details/9134969,NEPTUNE STARLIGHT,General Cargo Ship,9134969
/vessels/details/9226695,ANUBIS,General Cargo Ship,9226695
/vessels/details/9162760,BAY10,General Cargo Ship,9162760
/vessels/details/9155937,ADEL.S,General Cargo Ship,9155937
/vessels/details/8714683,ELENA,General Cargo Ship,8714683
/vessels/details/1025708,HUA WEI 01,Aggregates Carrier,1025708
/vessels/details/8748701,ARIA,General Cargo Ship,8748701
/vessels/details/9141900,MIREMBE JUDITH,Container Ship,9141900
/vessels/details/8408648,OMAYA,General Cargo Ship,8408648
/vessels/details/9107253,CAN BEY,General Cargo Ship,9107253
/vessels/details/8921494,FAISALM,General Cargo Ship,8921494
/vessels/details/9071167,AMIR 2,General Cargo Ship,9071167
/vessels/details/9708485,MAPINDUZI II,Passenger/General Cargo Ship,9708485
/vessels/details/7741251,KAREEM .R,General Cargo Ship,7741251
/vessels/details/9711054,GBP MARINE,Oil Products Tanker,9711054
/vessels/details/9137234,KAPITAN SHYRIAGIN,General Cargo Ship,9137234
/vessels/details/8914087,CAPTAIN ADAM 1,General Cargo Ship,8914087
/vessels/details/8420359,MARIA S,General Cargo Ship,8420359
/vessels/details/8019887,L KOCATEPE,Ro-Ro Cargo Ship,8019887
/vessels/details/7926095,MAYA S,General Cargo Ship,7926095
/vessels/details/9016155,AMIR BEY,General Cargo Ship,9016155
/vessels/details/9139787,SOUTHERN BREEZE,Passenger/Ro-Ro Cargo Ship,9139787
/vessels/details/9167667,MARIAMM,General Cargo Ship,9167667
/vessels/details/9170107,MUSTANG-1,General Cargo Ship,9170107
/vessels/details/7721146,AL FAHAD 1,Livestock Carrier,7721146
/vessels/details/8342375,RAOUF H,General Cargo Ship,8342375
/vessels/details/9232307,SKY,General Cargo Ship,9232307
/vessels/details/8115552,MISK M,General Cargo Ship,8115552
/vessels/details/8356974,NOURAN ED,General Cargo Ship,8356974
/vessels/details/9199775,AL FILK,Container Ship,9199775
/vessels/details/9177674,SILVER STAR 5,Bunkering Tanker,9177674
/vessels/details/9050187,GAS AURORA,LPG Tanker,9050187
