url,name,type,imo
/vessels/details/7605770,GEROI SHIPKI,Passenger/Ro-Ro Cargo Ship,7605770
/vessels/details/7605782,GEROI PLEVNY,Passenger/Ro-Ro Cargo Ship,7605782
/vessels/details/8724315,MORE SODRUZHESTVA,Fish Factory Ship,8724315
/vessels/details/8904496,NOOSFERA,Research Vessel,8904496
/vessels/details/8963595,GENERAL LAVRINENKOV,Inland Passenger,8963595
/vessels/details/7823994,VIKING SINEUS,Passenger (Cruise) Ship,7823994
/vessels/details/8866656,OLEKSIY FEDOROV,General Cargo Ship,8866656
/vessels/details/8888874,OLTENITSA,General Cargo Ship,8888874
/vessels/details/8844062,VOLODYMYR SHARKOV,General Cargo Ship,8844062
/vessels/details/8918356,VIANA DO CASTELO,General Cargo Ship,8918356
/vessels/details/8918382,VILKOVO,General Cargo Ship,8918382
/vessels/details/8918368,RENI,General Cargo Ship,8918368
/vessels/details/8918344,IZMAIL,General Cargo Ship,8918344
/vessels/details/8918394,TATARBUNARY,General Cargo Ship,8918394
/vessels/details/9443499,FYODOR URYUPIN,Offshore Tug/Supply Ship,9443499
/vessels/details/9137222,MEKHANIK CHEREVKO,General Cargo Ship,9137222
/vessels/details/6919148,KILIYA,General Cargo Ship,6919148
/vessels/details/8418588,NAFTOGAZ-68,Offshore Tug/Supply Ship,8418588
/vessels/details/8226351,MV.NEFTERUDOVOZ 46M,Ore/Oil Carrier,8226351
/vessels/details/8728074,VOLGO-BALT 218,General Cargo Ship,8728074
/vessels/details/7235068,PORADA,General Cargo Ship,7235068
/vessels/details/8623999,VASILIY BOZHENKO,General Cargo Ship,8623999
/vessels/details/8227783,AFANASIY MATYUSHENKO,General Cargo Ship,8227783
/vessels/details/8038223,MARTYN LATSIS,General Cargo Ship,8038223
/vessels/details/7514878,SHOSTKA,Buoy/Lighthouse Vessel,7514878
/vessels/details/7337684,PYOTR LIDOV,General Cargo Ship,7337684
/vessels/details/8933148,FYODOR KOTOV,Bunkering Tanker,8933148
/vessels/details/8500692,DRUZHBA,Passenger (Cruise) Ship,8500692
/vessels/details/8848783,SLAVUTICH-16,General Cargo Ship,8848783
/vessels/details/8841541,SLAVUTICH-15,General Cargo Ship,8841541
/vessels/details/8892136,SLAVUTICH-17,General Cargo Ship,8892136
/vessels/details/9136371,DNIPRO LINE,Container Ship,9136371
/vessels/details/8313881,VIKHR- 1,Fire Fighting Vessel,8313881
/vessels/details/8727044,TAMANSKIY,Chemical/Oil Products Tanker,8727044
/vessels/details/8331510,DESNA,Oil Products Tanker,8331510
/vessels/details/8711899,RUTA,Oil Products Tanker,8711899
/vessels/details/8711772,VOSTOCHNYY,Vegetable Oil Tanker,8711772
/vessels/details/8925311,ARGO,General Cargo Ship,8925311
/vessels/details/8980684,BORISFEN,General Cargo Ship,8980684
/vessels/details/8980696,SVYATAYA ANNA,General Cargo Ship,8980696
/vessels/details/8119106,ATREK,Offshore Tug/Supply Ship,8119106
/vessels/details/8860511,NEPTUN-3,Crane Ship,8860511
/vessels/details/8728531,SAPFIR,Tug,8728531
/vessels/details/8033144,TSENTAVR,Tug,8033144
/vessels/details/7741017,KERCHENSKIY-2,Passenger/Ro-Ro Cargo Ship,7741017
/vessels/details/9646352,MEOTIDA,Hopper Dredger,9646352
/vessels/details/9646912,INGULSKYJ,Hopper Dredger,9646912
/vessels/details/8416877,GRAF VORONTSOV,Fishing Vessel,8416877
/vessels/details/8924264,MARS,Bunkering Tanker,8924264
/vessels/details/9247912,SIMEIZ,Fishing Vessel,9247912
/vessels/details/8933734,CHERNOMORETS-27,Crane Ship,8933734
/vessels/details/8727018,POLUS-1,Fish Carrier,8727018
/vessels/details/8741648,BURUN,Tug,8741648
/vessels/details/9447110,MARIGOLDS,Fishing Vessel,9447110
/vessels/details/8880262,CHERNOMORETS-15,Crane Ship,8880262
/vessels/details/8222563,BORYS ALEKSANDROV,Research Vessel,8222563
/vessels/details/8606587,VLADIMIR PARSHIN,Research Vessel,8606587
/vessels/details/7436351,GORYN,Fishing Vessel,7436351
/vessels/details/7436363,GRIFON,Fishing Vessel,7436363
/vessels/details/8227068,VINOGRADNOYE,Fishing Vessel,8227068
/vessels/details/8027157,YUPITER,Tug,8027157
/vessels/details/8027171,MOGUCHIY,Tug,8027171
/vessels/details/8027145,KAPITAN NEZAVITIN,Tug,8027145
/vessels/details/8927357,PK 66,Crane Ship,8927357
/vessels/details/7011060,RODNIK,Water Tanker,7011060
/vessels/details/8411097,KHADZHIBEY,Passenger Ship,8411097
/vessels/details/7368669,VIKING,Fishing Vessel,7368669
/vessels/details/7911296,GLOBUS,Passenger Ship,7911296
/vessels/details/8931920,SPK 23,Crane Ship,8931920
/vessels/details/8917352,KRYMSKAYA STRELA,Passenger Ship,8917352
/vessels/details/8993150,SPK 2716,Crane Ship,8993150
/vessels/details/8409161,CHAMPION,Tug,8409161
/vessels/details/9517800,PO STAR,Tug,9517800
/vessels/details/9517812,PO BALQIS,Tug,9517812
/vessels/details/8501397,KEELBY,Tug,8501397
/vessels/details/9572680,KALOS LIMEN,Offshore Tug/Supply Ship,9572680
/vessels/details/9304849,HAJDAMAKA,Tug,9304849
/vessels/details/7530028,CAPTAIN MICHALIS,Offshore Tug/Supply Ship,7530028
/vessels/details/9636151,NIBULON-4,Pusher Tug,9636151
/vessels/details/6858514,PAROM-2,Passenger Ship,6858514
/vessels/details/9304681,BAKAY,Tug,9304681
/vessels/details/9287235,UKRTRANSNAFTA,Tug,9287235
/vessels/details/9574250,EVGENIY YAKOVTSEV,Tug,9574250
/vessels/details/8927333,PLUTON,Tug,8927333
/vessels/details/8933112,UDARNIK,Tug,8933112
/vessels/details/8827040,YURIY GARNAYEV,Passenger Ship,8827040
/vessels/details/8723933,PS-351,Pollution Control Vessel,8723933
/vessels/details/8860602,RUZA,General Cargo Ship,8860602
/vessels/details/8878233,ROMANTIK,Training Ship,8878233
/vessels/details/6905915,TOPAZ,Tug,6905915
/vessels/details/8724042,PS-379,Pollution Control Vessel,8724042
/vessels/details/8226399,RITM,Tug,8226399
/vessels/details/8929317,KRYMCHANIN,Tug,8929317
/vessels/details/9568536,BULAT,Tug,9568536
/vessels/details/9568524,PATRIOT,Tug,9568524
/vessels/details/8729743,VLADIMIR LUGOVSKOY,Passenger Ship,8729743
/vessels/details/8725369,PSOU,Passenger Ship,8725369
/vessels/details/8838518,MARGEYT,Passenger Ship,8838518
/vessels/details/8929094,SBORSHCHIK-311,Pollution Control Vessel,8929094
/vessels/details/8857526,DON,Bunkering Tanker,8857526
/vessels/details/8933136,FLORA,Pollution Control Vessel,8933136
/vessels/details/7740946,KORCHEV-YUG,General Cargo Ship,7740946
/vessels/details/8227989,MIDIYA,Pollution Control Vessel,8227989
/vessels/details/6874843,GEORGIY BABENKO,Tug,6874843
/vessels/details/8845705,GRIGOLETI,Fish Carrier,8845705
/vessels/details/8929460,SEVASTOPOLETS,Tug,8929460
/vessels/details/8929329,KALAMIT,Tug,8929329
/vessels/details/8228282,GOUSAN-5,Tug,8228282
/vessels/details/8845171,TAIFUN 1,Tug,8845171
/vessels/details/6874001,PZHK-432,Fire Fighting Vessel,6874001
