url,name,type,imo
/vessels/details/9983188,MV MPUNGU,Passenger/Ro-Ro Cargo Ship,9983188
/vessels/details/675010013,MT KABAKA MUTEBI II,Tanker,675010013
/vessels/details/675010015,MT ELGON,Tanker,675010015
/vessels/details/675889768,17226-2 27,Other type,675889768
/vessels/details/675763222,43888-4 28,Other type,675763222
/vessels/details/675580601,69055-34-96,Unknown,675580601
/vessels/details/675202103,BOMA,Military ops,675202103
/vessels/details/675580603,13336755806-3-36,Unknown,675580603
/vessels/details/675215516,LIN 21551-6-99,Unknown,675215516
/vessels/details/675667867,12171-9-9 40,Unknown,675667867
/vessels/details/675000022,JLY01168-03,Unknown,675000022
/vessels/details/675128985,LIN 12898-5-99,Unknown,675128985
/vessels/details/675941431,NNIT,Military ops,675941431
/vessels/details/675989302,06759-2-99,Unknown,675989302
/vessels/details/675765256,12068-6 50,Unknown,675765256
/vessels/details/675332002,675332-2-01,Unknown,675332002
/vessels/details/675669299,CG,Fishing vessel,675669299
/vessels/details/675764767,43888-1 84,Other type,675764767
/vessels/details/675210577,LIN 21057-7-50,Unknown,675210577
/vessels/details/675100994,V AUDOMSAK 3,Passenger ship,675100994
/vessels/details/675575755,ENESS,Fishing vessel,675575755
/vessels/details/675576236,12282-40 90,Unknown,675576236
/vessels/details/675580602,13336755806-2-99,Unknown,675580602
/vessels/details/675696788,EM GAI MIEN TAY,Dredging or UW ops,675696788
/vessels/details/675633440,PHUOCLOI 82E26DUC,Unknown,675633440
/vessels/details/675696712,ANH 4 MIEN TAY,Dredging or UW ops,675696712
/vessels/details/675764635,10168-0007 97,Unknown,675764635
/vessels/details/675219192,LIN21919-2-53,Unknown,675219192
/vessels/details/675103269,DE PEARL ANDAMAN,Passenger ship,675103269
/vessels/details/675765687,46158-7 100,Other type,675765687
/vessels/details/675332001,675332-1-01,Unknown,675332001
/vessels/details/675345324,PHUOC BINH-80,Unknown,675345324
/vessels/details/675210017,LIN 21001-7-31,Unknown,675210017
/vessels/details/675219293,LIN21929-3-53,Unknown,675219293
/vessels/details/675212449,LIN 21244-9-99,Unknown,675212449
/vessels/details/675732410,01241-10-89,Unknown,675732410
/vessels/details/675215557,LIN 21555-7-27,Unknown,675215557
/vessels/details/675214775,LIN 21477-5-97,Unknown,675214775
/vessels/details/675122376,LIN 12237-6-99,Unknown,675122376
/vessels/details/675675805,12158-0576,Unknown,675675805
/vessels/details/675297165,XIANG29716-5-52,Unknown,675297165
/vessels/details/675432145,P3-268 LXU-55,Unknown,675432145
/vessels/details/675859996,SAN 85999-6-69,Unknown,675859996
/vessels/details/675677354,12116-14-14 60,Unknown,675677354
/vessels/details/675580604,13336755806-4-21,Unknown,675580604
/vessels/details/675686870,P3 LUOI 509 D1796,Unknown,675686870
/vessels/details/675220421,C4RAOIQIXVLDYJJ,Unknown,675220421
/vessels/details/675046575,04299-1-1 60,Unknown,675046575
/vessels/details/675824000,CARGO4,Unknown,675824000
/vessels/details/675212019,LIN 21201-9-94,Unknown,675212019
/vessels/details/675118851,LIN21885-A1-41,Unknown,675118851
/vessels/details/675991015,15GIA MAN C5B22,Unknown,675991015
/vessels/details/675989305,06759-5-99,Unknown,675989305
/vessels/details/675555555,00675-5,Unknown,675555555
/vessels/details/675777999,DAU THANG VUI VE,Fishing vessel,675777999
/vessels/details/675439876,THUNDA,Pleasure craft,675439876
/vessels/details/675216776,LIN 21677-6-99,Unknown,675216776
/vessels/details/675992124,CROATIA,Cargo ship,675992124
/vessels/details/675120385,LIN 12038-5-99,Unknown,675120385
/vessels/details/675633333,43888-3 33,Other type,675633333
/vessels/details/675218339,LIN 21833-9-53,Unknown,675218339
/vessels/details/675332003,675332-3-01,Unknown,675332003
/vessels/details/675102116,ASTRAEUS SAILBOAT,Pleasure craft,675102116
/vessels/details/675202201,GREENHOUSE,Military ops,675202201
/vessels/details/675202104,BOOMA,Military ops,675202104
/vessels/details/675786392,ZNEDAIYU02394-92-68,Unknown,675786392
/vessels/details/675122895,LIN 12289-5-99,Unknown,675122895
/vessels/details/675329837,XIANG29716-5-81,Unknown,675329837
/vessels/details/675218393,LIN21839-3-99,Unknown,675218393
/vessels/details/675753222,31088 4,Other type,675753222
/vessels/details/675090082,THU 95-A16,Fishing vessel,675090082
/vessels/details/675218285,LIN21828-5-62,Unknown,675218285
/vessels/details/675255617,08922-17-58,Unknown,675255617
/vessels/details/675889888,SAN 88988-8-75,Unknown,675889888
/vessels/details/675989314,06759-14-99,Unknown,675989314
