url,name,type,imo
/vessels/details/9916678,CHINA ZORRILLA,Passenger/Ro-Ro Cargo Ship,9916678
/vessels/details/9119385,SILVIA ANA L,Passenger/Ro-Ro Cargo Ship,9119385
/vessels/details/9610028,FRANCISCO,Passenger/Ro-Ro Cargo Ship,9610028
/vessels/details/9164421,ALIANCA DEL PLATA,Container Ship,9164421
/vessels/details/9001540,ATLANTIC III,Passenger/Ro-Ro Cargo Ship,9001540
/vessels/details/9828742,D11-21 DE JULIO,Hopper Dredger,9828742
/vessels/details/8320652,D9 ALFREDO LABADIE,Hopper Dredger,8320652
/vessels/details/7053161,DRAGA D7,Hopper Dredger,7053161
/vessels/details/8704925,OCEAN AZUL,Fishing Vessel,8704925
/vessels/details/9579690,SUPERFERRY EXPRESS,Passenger/Ro-Ro Cargo Ship,9579690
/vessels/details/8802571,RIO SOLIS IV,Fishing Vessel,8802571
/vessels/details/6710932,OYARVIDE,Research Vessel,6710932
/vessels/details/8407175,GRANDE HERMINE,Fishing Vessel,8407175
/vessels/details/9469209,CAPELLA,Oil Products Tanker,9469209
/vessels/details/9461740,DIDI K,Offshore Tug/Supply Ship,9461740
/vessels/details/8952998,BG GRAL ARTIGAS,Crane Ship,8952998
/vessels/details/8028565,BREMEN HUNTER,Offshore Tug/Supply Ship,8028565
/vessels/details/8702317,RIO SOLIS II,Fishing Vessel,8702317
/vessels/details/8710285,POLARPESCA,Fish Factory Ship,8710285
/vessels/details/9224609,COLONIA EXPRESS II,Passenger/Ro-Ro Cargo Ship,9224609
/vessels/details/8517463,KALATXORI,Fishing Vessel,8517463
/vessels/details/8213196,CANADIAN SPIRIT,Fishing Vessel,8213196
/vessels/details/9144639,PLAYA MALVIN,Fishing Vessel,9144639
/vessels/details/6700169,ATLANTIC JANE,Fishing Vessel,6700169
/vessels/details/6723757,ATLANTIC RUTHANN,Fishing Vessel,6723757
/vessels/details/6914289,NILTO-I,Fishing Vessel,6914289
/vessels/details/8411176,GAUCHO,Tug,8411176
/vessels/details/9753143,MANEADOR,Tug,9753143
/vessels/details/8704937,COLONIA EXPRESS,Passenger Ship,8704937
/vessels/details/9315630,ALCANTARA,Tug,9315630
/vessels/details/9350161,VB TANNAT,Tug,9350161
/vessels/details/9044114,MATRERO,Tug,9044114
/vessels/details/7011644,ANGLIAN WARRIOR,Tug,7011644
/vessels/details/9181431,VB SARGAZOS,Tug,9181431
/vessels/details/8317722,ORIENTAL 1,Tug,8317722
/vessels/details/9298014,PUNTA SAYAGO,Tug,9298014
/vessels/details/9214771,PUNTA BRAVA,Tug,9214771
