url,name,type,imo
/vessels/details/437923563,YUEZHANYU01291-3 7V8,Unknown,437923563
/vessels/details/437900017,73,Unknown,437900017
/vessels/details/437737367,03802-13-74,Unknown,437737367
/vessels/details/437591642,82162-B 6V6,Unknown,437591642
/vessels/details/437551116,32665-29-67,Unknown,437551116
/vessels/details/437656402,5082-16-42,Unknown,437656402
/vessels/details/437168816,A1,Fishing vessel,437168816
/vessels/details/437701110,JONGTRONTAN9,Towing vessel,437701110
/vessels/details/437832187,SCN1,Unknown,437832187
/vessels/details/437720399,XINSONG9989,Unknown,437720399
/vessels/details/437900011,58,Unknown,437900011
/vessels/details/437771162,65018-4,Unknown,437771162
/vessels/details/437897896,HAIFENGDA99,Other type,437897896
/vessels/details/437900014,64,Unknown,437900014
/vessels/details/437634606,RFM-06-FISHBUOY 92,Fishing vessel,437634606
/vessels/details/437737365,3802-02-78,Unknown,437737365
/vessels/details/437656403,5082-17-90,Unknown,437656403
