url,name,type,imo
/vessels/details/9316567,FSO NABARIMA,FSO,9316567
/vessels/details/7910149,ET BOCA GRANDE II,Trans Shipment Vessel,7910149
/vessels/details/9543512,PARAMACONI,Crude Oil Tanker,9543512
/vessels/details/8204456,RIO CARONI,Self Discharging Bulk Carrier,8204456
/vessels/details/9225043,KAVANAYEN,Bulk Carrier,9225043
/vessels/details/9209116,VIRGEN DE COROMOTO,Bulk Carrier,9209116
/vessels/details/9213820,NOINA,Bulk Carrier,9213820
/vessels/details/9153056,MACAREO,Bulk Carrier,9153056
/vessels/details/9117480,NEGRA HIPOLITA,Oil Products Tanker,9117480
/vessels/details/9429962,JOSE MARIA ESPANA,General Cargo Ship,9429962
/vessels/details/9397183,MANUEL GUAL,General Cargo Ship,9397183
/vessels/details/9235866,VIRGEN DEL VALLE II,Passenger/Ro-Ro Cargo Ship,9235866
/vessels/details/7800447,CATATUMBO,Hopper Dredger,7800447
/vessels/details/9279264,VIRGEN DE COROMOTO,Passenger/Ro-Ro Cargo Ship,9279264
/vessels/details/9191565,ICOA URU,Bulk Carrier,9191565
/vessels/details/9479682,FILIPPA,Chemical/Oil Products Tanker,9479682
/vessels/details/9125891,PARAGUANA,Passenger/Ro-Ro Cargo Ship,9125891
/vessels/details/9320609,LAURA,Oil Products Tanker,9320609
/vessels/details/9320611,LIZZIE,Oil Products Tanker,9320611
/vessels/details/9698757,GRAN ROQUE,Fishing Vessel,9698757
/vessels/details/8919465,TALENDUIC,Fishing Vessel,8919465
/vessels/details/7230422,TAURUS TUNA,Fishing Vessel,7230422
/vessels/details/8812186,FV VIA AVENIR,Fishing Vessel,8812186
/vessels/details/9017850,FV VIA MISTRAL,Fishing Vessel,9017850
/vessels/details/9017862,FV EUROS TUNA,Fishing Vessel,9017862
/vessels/details/7395521,FALCON,Fishing Vessel,7395521
/vessels/details/7333250,ORINOCO II,Fishing Vessel,7333250
/vessels/details/7366740,CURIMAGUA,Fishing Vessel,7366740
/vessels/details/7407908,VENTUARI,Fishing Vessel,7407908
/vessels/details/7416961,CAQUETIO I,Landing Craft,7416961
/vessels/details/8115708,VICTORIA EMILIA XII,Deck Cargo Ship,8115708
/vessels/details/9329289,DON NASIB,Passenger/Ro-Ro Cargo Ship,9329289
/vessels/details/7827457,CARMELA,Fishing Vessel,7827457
/vessels/details/7827471,DON FRANCESCO,Fishing Vessel,7827471
/vessels/details/7825992,SIMON BOLIVAR,Sailing Vessel,7825992
/vessels/details/7601736,CAYUDE,Fishing Vessel,7601736
/vessels/details/7121138,AMAZONAS,Fishing Vessel,7121138
/vessels/details/7613961,EMPRENDEDORA,Landing Craft,7613961
/vessels/details/9611888,LOS MONJES,Landing Craft,9611888
/vessels/details/8668236,CAICARA,Pusher Tug,8668236
/vessels/details/8127426,CAPITAN PICARDI,Offshore Tug/Supply Ship,8127426
/vessels/details/9806392,SUR,Tug,9806392
/vessels/details/9226358,GRAN CACIQUE IV,Passenger Ship,9226358
/vessels/details/7722023,SHUT OUT,Offshore Tug/Supply Ship,7722023
/vessels/details/9700744,ORQUIDEA,Tug,9700744
/vessels/details/7917812,GRAN CACIQUE II,Passenger Ship,7917812
/vessels/details/9089566,MS JOYCE,Offshore Tug/Supply Ship,9089566
/vessels/details/7530107,ANNA C,Tug,7530107
/vessels/details/9163960,EL ORIENTAL,Tug,9163960
/vessels/details/7917824,GRAN CACIQUE III,Passenger Ship,7917824
/vessels/details/9618733,PARAMACONI,Tug,9618733
/vessels/details/8316039,HT CUTLASS,Tug,8316039
/vessels/details/9789491,CUYAGUA,Tug,9789491
/vessels/details/9742261,FERNANDO GOMEZ DE SAA,Patrol Vessel,9742261
/vessels/details/8207719,SEA SOLUTION,Tug,8207719
/vessels/details/9517587,VENCEREMOS,Tug,9517587
/vessels/details/9579432,CARUAO,Tug,9579432
/vessels/details/9868601,PLAYA EL YAQUE,Passenger Ship,9868601
/vessels/details/8938851,MARIA LETIZIA,Fishing Vessel,8938851
/vessels/details/9529035,MANAURE,Tug,9529035
/vessels/details/9529023,REVOLUCION,Tug,9529023
/vessels/details/9113185,HERMANO GINES,Fishing Vessel,9113185
/vessels/details/775000011,SIMONBOLIVAR,Diving ops,775000011
/vessels/details/775991115,EL AGUILA,Cargo ship,775991115
/vessels/details/775993721,GUASINUCO,Fishing vessel,775993721
/vessels/details/775994066,MNMIRANDA,Unknown (HAZ-B),775994066
/vessels/details/775994062,PICUA VI,Pilot,775994062
/vessels/details/775511000,LARESTINGA,Passenger ship,775511000
/vessels/details/775993727,DON LAUREANO II,Fishing vessel,775993727
/vessels/details/775998368,LAGUNAK,Pleasure craft,775998368
/vessels/details/775993131,GUAMAR.....,Fishing vessel,775993131
/vessels/details/775993466,MAYELEWO,Fishing vessel,775993466
/vessels/details/775992644,DON PEDRO QUIJADA,Fishing vessel,775992644
/vessels/details/775992719,LIARA 43,Pleasure craft,775992719
/vessels/details/775993254,DON CHARLYS,Cargo ship,775993254
/vessels/details/8640258,CIUDAD BOLIVAR,Naval/Naval Auxiliary,8640258
/vessels/details/775991095,AMANDA EXPLORER,Cargo ship,775991095
/vessels/details/775998707,EL REY JESUS,Fishing vessel,775998707
/vessels/details/775992889,GEMMA,Pleasure craft,775992889
/vessels/details/775998239,KIM GUS,Pleasure craft,775998239
/vessels/details/775998141,RELEASE,Pleasure craft,775998141
/vessels/details/775992587,DELPHIN,Sailing vessel,775992587
/vessels/details/775992546,BUENA VI,Pleasure craft,775992546
/vessels/details/775991114,ASHLEY II,Cargo ship,775991114
/vessels/details/775992386,SEA BURROW,Fishing vessel,775992386
/vessels/details/775993775,TIMANFAYA,Unknown (HAZ-B),775993775
/vessels/details/775999004,LUCIA,Fishing vessel,775999004
/vessels/details/775998214,YUPALE,Pleasure craft,775998214
/vessels/details/775990389,TIGHT LINES,Pleasure craft,775990389
/vessels/details/775993576,YURIDIS I,Fishing vessel,775993576
/vessels/details/775980307,THE EDGE,Pleasure craft,775980307
/vessels/details/775992619,MARIA JOSE I,Fishing vessel,775992619
/vessels/details/775000036,775-36,Unknown,775000036
/vessels/details/775990921,AQUATATA,Pleasure craft,775990921
/vessels/details/775992216,CAMILA ISABEL,Pleasure craft,775992216
/vessels/details/775998354,KAISER,Pleasure craft,775998354
/vessels/details/775998321,MARAFUERA I,Pleasure craft,775998321
/vessels/details/775998391,THIFA,Unknown (HAZ-B),775998391
/vessels/details/1047847,HONG YI XING 66,Deck Cargo Ship,1047847
/vessels/details/775998277,WILD,Pleasure craft,775998277
/vessels/details/775790100,DON ARMANDO,Fishing vessel,775790100
/vessels/details/775990079,VALLE MAR,Pleasure craft,775990079
/vessels/details/775993159,SANLUS.XI,Fishing vessel,775993159
/vessels/details/775992648,NEPTUNUS,Pleasure craft,775992648
/vessels/details/775993358,MAMATINA,Fishing vessel,775993358
/vessels/details/775998271,GAZELA,Pleasure craft,775998271
/vessels/details/775993567,DONA TERESA II,Fishing vessel,775993567
/vessels/details/775991307,HELEN ANGELI,Pleasure craft,775991307
/vessels/details/775998166,ONDINE,Pleasure craft,775998166
/vessels/details/775993988,SIMILIQUIRI,Fishing vessel,775993988
/vessels/details/775992317,ALCON 1,Passenger ship,775992317
/vessels/details/775991532,STALL,Pleasure craft,775991532
/vessels/details/775998726,S3,Passenger ship,775998726
/vessels/details/775998904,SILVER BULLET,Pleasure craft,775998904
/vessels/details/775990174,PERCANTA,Pleasure craft,775990174
/vessels/details/775992267,ALAMAR,Pleasure craft,775992267
/vessels/details/775308012,775308012 9V,Unknown,775308012
/vessels/details/9672533,LOTO,Tug,9672533
/vessels/details/775998429,KATIRINO,Pleasure craft,775998429
/vessels/details/775993557,RAYOS DE ORIENT,Fishing vessel,775993557
/vessels/details/775992654,MI MAREJADA,Fishing vessel,775992654
/vessels/details/775998469,NENOTTE,Pleasure craft,775998469
/vessels/details/775990609,SAMUA,Cargo ship,775990609
/vessels/details/775998947,PLAYUELA,Unknown,775998947
/vessels/details/775990207,MARIA VICTORIA,Passenger ship,775990207
/vessels/details/775992492,ANIRAYS,Pleasure craft,775992492
/vessels/details/775993769,MI VIEJO,Other type,775993769
/vessels/details/775998292,LITIGIO,Pleasure craft,775998292
/vessels/details/5036743,BAREDO,Fishing Vessel,5036743
/vessels/details/775998112,BLESSED BY GOD,Pleasure craft,775998112
/vessels/details/775992858,PETRA VI,Passenger ship,775992858
/vessels/details/775991039,DANKAR,Pleasure craft,775991039
/vessels/details/775991267,LUIS AGUSTIN,Fishing vessel,775991267
/vessels/details/775994910,CAICARA,Towing vessel,775994910
/vessels/details/775998481,GRAND CRU,Other type,775998481
/vessels/details/775991126,VIEJO NANO,Cargo ship,775991126
/vessels/details/775992195,BLUE SHARK,Pleasure craft,775992195
/vessels/details/775991467,MAHI MAHI,Pleasure craft,775991467
/vessels/details/775004192,XNWASHENZHEN,Tanker,775004192
