url,name,type,imo
/vessels/details/379525252,USA 52 B39C16,Fishing vessel,379525252
/vessels/details/379985218,3799-18-69,Unknown,379985218
/vessels/details/379451845,ZHEDMIYU00X85-08-86,Unknown,379451845
/vessels/details/379995620,SAN99956-20-96,Unknown,379995620
/vessels/details/379985213,3799-13-99,Unknown,379985213
/vessels/details/379986202,3799-2-56,Unknown,379986202
/vessels/details/379888889,SAN88888-9-91,Unknown,379888889
/vessels/details/379986203,3799-3-78,Unknown,379986203
/vessels/details/379215225,LIN21522-5-67,Unknown,379215225
/vessels/details/379900009,3799-9,Unknown,379900009
/vessels/details/379657807,96578-7-83,Unknown,379657807
/vessels/details/379900010,3799-10,Unknown,379900010
/vessels/details/379968021,3799-21-84,Unknown,379968021
/vessels/details/379657808,96578-8-80,Unknown,379657808
/vessels/details/379657806,96578-6-94,Unknown,379657806
/vessels/details/379968024,3799-24-88,Unknown,379968024
/vessels/details/379968018,3799-18-53,Unknown,379968018
/vessels/details/379985211,3799-11-89,Unknown,379985211
/vessels/details/379968023,3799-23-91,Unknown,379968023
/vessels/details/379948196,MINH-QUANG-D38,Fishing vessel,379948196
/vessels/details/379000000,37THUANHAIC1O,Fishing vessel,379000000
/vessels/details/379657810,96578-10-83,Unknown,379657810
/vessels/details/379985216,3799-16-99,Unknown,379985216
/vessels/details/379657802,96578-2-80,Unknown,379657802
/vessels/details/379888912,SAN98889-12-39,Unknown,379888912
/vessels/details/379883177,TUNG 14 B8D16,Fishing vessel,379883177
/vessels/details/379000005,RML335 APATIN,Other type,379000005
/vessels/details/379218967,LIN21896-7-02,Unknown,379218967
/vessels/details/379985212,3799-12-73,Unknown,379985212
/vessels/details/379968017,3799-17-88,Unknown,379968017
/vessels/details/379985219,3799-19-99,Unknown,379985219
/vessels/details/379218485,LIN21848-5-42,Unknown,379218485
/vessels/details/379218532,LIN21853-2-99,Unknown,379218532
/vessels/details/379312399,TAULF5G415N,Fishing vessel,379312399
/vessels/details/379900003,3799-3-99,Unknown,379900003
/vessels/details/379657805,96578-5-83,Unknown,379657805
/vessels/details/379707772,TH TUYEN C KIEU F6,Unknown,379707772
/vessels/details/379192939,CAU MUC,Fishing vessel,379192939
/vessels/details/379995611,SAN 99956-11-47,Unknown,379995611
/vessels/details/379243736,RAPOC 37E1E5,Fishing vessel,379243736
/vessels/details/379968022,3799-22-99,Unknown,379968022
/vessels/details/379216738,LIN21673-8-95,Unknown,379216738
/vessels/details/379218719,LIN21871-9-73,Unknown,379218719
/vessels/details/379968025,3799-25-87,Unknown,379968025
/vessels/details/379657804,96578-4-62,Unknown,379657804
/vessels/details/379657801,96578-1-73,Unknown,379657801
/vessels/details/379965055,3799-5-99,Unknown,379965055
/vessels/details/379968016,3799-16-55,Unknown,379968016
/vessels/details/379201007,16818-3-97,Unknown,379201007
/vessels/details/379121355,LIN12135-5-88,Unknown,379121355
/vessels/details/379867543,MVCRYSTAL SYMPHONY,Military ops,379867543
/vessels/details/379379379,LOI THANH 3 E39,Fishing vessel,379379379
/vessels/details/379968020,3799-20-89,Unknown,379968020
/vessels/details/379999566,SAN99956-6-89,Unknown,379999566
/vessels/details/379268144,LIN21980-8-48,Unknown,379268144
/vessels/details/379985217,3799-17-99,Unknown,379985217
/vessels/details/379968019,3799-19-88,Unknown,379968019
/vessels/details/379985215,3799-15-99,Unknown,379985215
/vessels/details/379985220,3799-20-99,Unknown,379985220
/vessels/details/379657809,96578-9-89,Unknown,379657809
/vessels/details/379900007,3799-7-53,Unknown,379900007
/vessels/details/379215729,LIN21572-9-53,Unknown,379215729
/vessels/details/379900001,3799-1-79,Unknown,379900001
/vessels/details/379456789,MINH-DUYEN E16D38,Fishing vessel,379456789
/vessels/details/379999999,GHE CAUDUYVU,Fishing vessel,379999999
/vessels/details/379985214,3799-14-51,Unknown,379985214
/vessels/details/379864357,389-21-27-52,Unknown,379864357
/vessels/details/379900004,3799-4-28,Unknown,379900004
/vessels/details/379900006,3799-6,Unknown,379900006
/vessels/details/379657803,96578-3-86,Unknown,379657803
/vessels/details/379397279,LUOI XU NOI-79A39,Fishing vessel,379397279
/vessels/details/379585000,GOLDEN STAR33,Tanker,379585000
