url,name,type,imo
/vessels/details/9675377,SAMOA EXPRESS II,Landing Craft,9675377
/vessels/details/9931680,SAULA-60,Tug,9931680
/vessels/details/9247170,ATAFA,Tug,9247170
/vessels/details/561000222,XYY00222-167.1V,Unknown,561000222
/vessels/details/561215601,LIN21560-1-43,Unknown,561215601
/vessels/details/561953632,19536-32-62,Unknown,561953632
/vessels/details/561092025,61092-25-99,Unknown,561092025
/vessels/details/561083040,61083-40-77,Unknown,561083040
/vessels/details/561083055,61083-55-91,Unknown,561083055
/vessels/details/561981010,61981-10-91,Unknown,561981010
/vessels/details/561688008,008-99,Unknown,561688008
/vessels/details/561511513,115-13-85,Unknown,561511513
/vessels/details/561213522,LIN 12135-22-99,Unknown,561213522
/vessels/details/561092009,61092-9-68,Unknown,561092009
/vessels/details/561083011,61083-11-99,Unknown,561083011
/vessels/details/561112203,B32001-7-55,Unknown,561112203
/vessels/details/561092016,61092-16-97,Unknown,561092016
/vessels/details/561638815,YUESHANYU16388-1576,Unknown,561638815
/vessels/details/561824040,NET05618-40-50,Unknown,561824040
/vessels/details/561216582,LIN21658-2-66,Unknown,561216582
/vessels/details/561208213,LIN12082-13-99,Unknown,561208213
/vessels/details/561161113,611-13-99,Unknown,561161113
/vessels/details/561219181,LIN21918-1-99,Unknown,561219181
/vessels/details/561980014,NET56198-14-41,Unknown,561980014
/vessels/details/561820087,SUGANYU12282-7,Unknown,561820087
/vessels/details/561083006,61083-6-92,Unknown,561083006
/vessels/details/561529824,15298-24-98,Unknown,561529824
/vessels/details/561083046,61083-46-91,Unknown,561083046
/vessels/details/561511516,115-16-06,Unknown,561511516
/vessels/details/561083021,61083-21-96,Unknown,561083021
/vessels/details/561295316,LIN12953-16-98,Unknown,561295316
/vessels/details/561228716,LIN12287-16-99,Unknown,561228716
/vessels/details/4734271,NAFANUA III,Patrol Vessel,4734271
/vessels/details/561083005,61083-5-74,Unknown,561083005
/vessels/details/561316060,61316-60-89,Unknown,561316060
/vessels/details/561521927,XYY21921-68.0V,Unknown,561521927
/vessels/details/561229814,80666-08-72,Unknown,561229814
/vessels/details/561083030,61083-30-99,Unknown,561083030
/vessels/details/561083033,61083-33-90,Unknown,561083033
/vessels/details/561083026,61083-26-84,Unknown,561083026
/vessels/details/561511512,115-12-99,Unknown,561511512
/vessels/details/561234321,AP 01,Other type,561234321
/vessels/details/561083007,61083-7-05,Unknown,561083007
/vessels/details/561958805,19588-5-99,Unknown,561958805
/vessels/details/561237811,LIN 12378-11-96,Unknown,561237811
/vessels/details/561129531,LIN12953-1-52,Unknown,561129531
/vessels/details/561030008,56103-08 100,Unknown,561030008
/vessels/details/561092023,61092-23-89,Unknown,561092023
/vessels/details/561981019,61981-19-21,Unknown,561981019
/vessels/details/561083016,61083-16-80,Unknown,561083016
/vessels/details/561083038,61083-38-84,Unknown,561083038
