url,name,type,imo
/vessels/details/9381275,CORVO,General Cargo Ship,9381275
/vessels/details/9164548,FURNAS,General Cargo Ship,9164548
/vessels/details/7533288,ILHEU DA MINA,General Cargo Ship,7533288
/vessels/details/9690494,GILBERTO MARIANO,Passenger/Ro-Ro Cargo Ship,9690494
/vessels/details/9861732,MESTRE JAIME FEIJO,Passenger/Ro-Ro Cargo Ship,9861732
/vessels/details/7129661,PAULO DA GAMA,General Cargo Ship,7129661
/vessels/details/9358618,THOR B,Offshore Tug/Supply Ship,9358618
/vessels/details/9011480,PERO DE TEIVE,Tug,9011480
/vessels/details/9995296,ACOR,Tug,9995296
/vessels/details/8017164,UERDEMILHO,Fishing Vessel,8017164
/vessels/details/8610796,AGUAS SANTAS,Fishing Vessel,8610796
/vessels/details/8616001,CRUZEIRO DAS ILHAS,Passenger Ship,8616001
/vessels/details/9030292,BRAVO,Fishing Vessel,9030292
/vessels/details/9275816,ILHA DE SAO LUIS,Tug,9275816
/vessels/details/9193355,DANDALUNDA,Fishing Vessel,9193355
/vessels/details/8686989,MESTRE SACADURA,Fishing Vessel,8686989
/vessels/details/9086277,ARQUIPELAGO,Fishing Support Vessel,9086277
/vessels/details/8719255,PONTA DO ESPARTEL,Fishing Vessel,8719255
/vessels/details/9088926,PARMA,Fishing Vessel,9088926
/vessels/details/9203655,PEREIRA E MOCA,Fishing Vessel,9203655
/vessels/details/204813000,CIDADE CELESTIAL,Fishing vessel,204813000
/vessels/details/204207760,BAIA DO SOL,Fishing vessel,204207760
/vessels/details/204814000,IRIS DO MAR,Fishing vessel,204814000
/vessels/details/204261000,DAMATA,Fishing vessel,204261000
/vessels/details/204278000,SENHORA DA SAUDE,Fishing vessel,204278000
/vessels/details/204701360,CECILIA A,Other type,204701360
/vessels/details/204248000,DOIS SONHADORES,Fishing vessel,204248000
/vessels/details/204275000,JORGE SANTOS,Fishing vessel,204275000
/vessels/details/204209890,ANDRE E TIAGO,Pleasure craft,204209890
/vessels/details/204600003,ESPIRITO SANTO,Cargo ship,204600003
/vessels/details/204671240,CORAL DA HORTA,Dredging or UW ops,204671240
/vessels/details/204270000,BARRINHA,Fishing vessel,204270000
/vessels/details/204201360,AGRIAO,Fishing vessel,204201360
/vessels/details/204829000,FALCAO DO MAR,Unknown (HAZ-A),204829000
/vessels/details/204671270,JOAO VAZ CORTE-REAL,Pilot,204671270
/vessels/details/204671360,DRAGOCIDENTAL,Dredging or UW ops,204671360
/vessels/details/204812780,HEXENTRIC,Sailing vessel,204812780
/vessels/details/204201370,SANTO ONOFRE,Unknown,204201370
/vessels/details/204670570,PORTAS DO MAR,Pilot,204670570
/vessels/details/204257000,VIRGILIO MIGUEL,Fishing vessel,204257000
/vessels/details/204264000,CABO DO MAR,Unknown,204264000
/vessels/details/204274000,CANDEIAS,Fishing vessel,204274000
/vessels/details/204671280,ALVARO DE ORNELAS,Pilot,204671280
/vessels/details/204254000,ARMINDO JOSE,Unknown,204254000
/vessels/details/204041000,FUGITIVO,Fishing vessel,204041000
/vessels/details/204209870,ILHA AMARELA,Fishing vessel,204209870
/vessels/details/204209960,DAVID CARLOS,Unknown,204209960
/vessels/details/204258000,PAI ETERNO,Fishing vessel,204258000
/vessels/details/204209000,MARCELINO BARBOSA,Unknown,204209000
/vessels/details/204211450,PESCA ACORES,Fishing vessel,204211450
/vessels/details/204811940,SPIRITO,Sailing vessel,204811940
/vessels/details/204203650,ANA MARGARIDA,Fishing vessel,204203650
/vessels/details/204208790,BELA AURORA,Fishing vessel,204208790
/vessels/details/204255000,ELSA MARIA,Unknown,204255000
/vessels/details/204206760,MESTRE SOARES,Fishing vessel,204206760
/vessels/details/204206750,BAIA DA MAIA,Fishing vessel,204206750
/vessels/details/204277000,-EMANUEL JESUS,Fishing vessel,204277000
/vessels/details/204671960,BASALTO,Unknown,204671960
/vessels/details/204900119,FILIGRANA,Sailing vessel,204900119
