url,name,type,imo
/vessels/details/9932919,MSC AZRA,Container Ship,9932919
/vessels/details/9932921,MSC ADYA,Container Ship,9932921
/vessels/details/9857169,MSC ARIES,Container Ship,9857169
/vessels/details/9857183,MSC AURIGA,Container Ship,9857183
/vessels/details/9857171,MSC VIRGO,Container Ship,9857171
/vessels/details/9857157,MSC ORION,Container Ship,9857157
/vessels/details/9465318,MSC MARGRIT XIII,Container Ship,9465318
/vessels/details/9465306,MSC RENEE XIII,Container Ship,9465306
/vessels/details/9447861,ROME EXPRESS,Container Ship,9447861
/vessels/details/9447885,SOUTHAMPTON EXPRESS,Container Ship,9447885
/vessels/details/9793947,MSC SIYA B,Container Ship,9793947
/vessels/details/9778117,MSC NITYA B,Container Ship,9778117
/vessels/details/9778088,MSC MADHU B,Container Ship,9778088
/vessels/details/9778105,MSC SHREYA B,Container Ship,9778105
/vessels/details/9778076,MSC SHUBA B,Container Ship,9778076
/vessels/details/9778090,MSC YASHI B,Container Ship,9778090
/vessels/details/9758674,EURYBIA,Bulk Carrier,9758674
/vessels/details/9738571,MINERAL SHOUGANG INT,Bulk Carrier,9738571
/vessels/details/9731573,HILLE OLDENDORFF,Bulk Carrier,9731573
/vessels/details/9742728,HEDWIG OLDENDORFF,Bulk Carrier,9742728
/vessels/details/9718375,HERMINE OLDENDORFF,Bulk Carrier,9718375
/vessels/details/9731602,HUBERTUS OLDENDORFF,Bulk Carrier,9731602
/vessels/details/9731614,HANNA OLDENDORFF,Bulk Carrier,9731614
/vessels/details/9750402,HANNES OLDENDORFF,Bulk Carrier,9750402
/vessels/details/9713040,HELGA OLDENDORFF,Bulk Carrier,9713040
/vessels/details/9871115,HAUKE OLDENDORFF,Bulk Carrier,9871115
/vessels/details/9871103,HEIDE OLDENDORFF,Bulk Carrier,9871103
/vessels/details/9691955,LUDOLF OLDENDORFF,Bulk Carrier,9691955
/vessels/details/9691943,LEOPOLD OLDENDORFF,Bulk Carrier,9691943
/vessels/details/9745665,MSC DESIREE,Container Ship,9745665
/vessels/details/9735206,MSC PALAK,Container Ship,9735206
/vessels/details/9770737,MSC GIULIA,Container Ship,9770737
/vessels/details/9745653,MSC ROMANE,Container Ship,9745653
/vessels/details/9735218,MSC ELMA,Container Ship,9735218
/vessels/details/9724049,MSC BRITTANY,Container Ship,9724049
/vessels/details/9618264,MSC ABIDJAN,Container Ship,9618264
/vessels/details/9704996,MSC JULIE,Container Ship,9704996
/vessels/details/9710438,MSC CHANNE,Container Ship,9710438
/vessels/details/9710426,MSC ANZU,Container Ship,9710426
/vessels/details/9704960,MSC LILY,Container Ship,9704960
/vessels/details/9705005,MSC CATERINA,Container Ship,9705005
/vessels/details/9704984,MSC NAOMI,Container Ship,9704984
/vessels/details/9704972,MSC ELODIE,Container Ship,9704972
/vessels/details/9702106,MSC BRUNELLA,Container Ship,9702106
/vessels/details/9702091,MSC SOFIA CELESTE,Container Ship,9702091
/vessels/details/9702089,MSC VITA,Container Ship,9702089
/vessels/details/9702261,MSC SARA ELENA,Container Ship,9702261
/vessels/details/9702273,MSC ANTONELLA,Container Ship,9702273
/vessels/details/9702065,MSC LETIZIA,Container Ship,9702065
/vessels/details/9720512,MSC MICHELA,Container Ship,9720512
/vessels/details/9720287,MSC MAXINE,Container Ship,9720287
/vessels/details/9720500,MSC SASHA,Container Ship,9720500
/vessels/details/9720495,MSC BRANKA,Container Ship,9720495
/vessels/details/9720524,MSC CLEA,Container Ship,9720524
/vessels/details/9720457,MSC SILVIA,Container Ship,9720457
/vessels/details/9720471,MSC JEONGMIN,Container Ship,9720471
/vessels/details/9720201,MSC DOMITILLE,Container Ship,9720201
/vessels/details/9720483,MSC CHLOE,Container Ship,9720483
/vessels/details/9702077,MSC MELINE,Container Ship,9702077
/vessels/details/9393319,MSC RIKKU,Container Ship,9393319
/vessels/details/9393307,MSC RIDA VIII,Container Ship,9393307
