url,name,type,imo
/vessels/details/9244661,ALASKAN EXPLORER,Crude Oil Tanker,9244661
/vessels/details/9271432,ALASKAN LEGEND,Crude Oil Tanker,9271432
/vessels/details/9244063,POLAR ADVENTURE,Crude Oil Tanker,9244063
/vessels/details/9333010,MAERSK KENSINGTON,Container Ship,9333010
/vessels/details/9232242,POMEROY,Naval/Naval Auxiliary,9232242
/vessels/details/9505089,ARC HONOR,Vehicles Carrier,9505089
/vessels/details/9193575,NELSON V. BRITTIN,Naval/Naval Auxiliary,9193575
/vessels/details/9316139,PATRIOT,Vehicles Carrier,9316139
/vessels/details/9938327,PRESIDENT JQ ADAMS,Container Ship,9938327
/vessels/details/7826178,CAPE WASHINGTON,Vehicles Carrier,7826178
/vessels/details/7826166,CAPE WRATH,Vehicles Carrier,7826166
/vessels/details/9578983,CAPE SABLE,Ro-Ro Cargo Ship,9578983
/vessels/details/9578969,CAPE STARR,Ro-Ro Cargo Ship,9578969
/vessels/details/9578971,CAPE SAN JUAN,Ro-Ro Cargo Ship,9578971
/vessels/details/7704942,CAPE HORN,Ro-Ro Cargo Ship,7704942
/vessels/details/7704930,CAPE HUDSON,Ro-Ro Cargo Ship,7704930
/vessels/details/7724083,CAPE HENRY,Ro-Ro Cargo Ship,7724083
/vessels/details/9629988,SLNC SEVERN,Bulk Carrier,9629988
/vessels/details/7816551,CHALLENGE,Chemical/Oil Products Tanker,7816551
/vessels/details/9435909,OVERSEAS SANTORINI,Chemical/Oil Products Tanker,9435909
/vessels/details/9910325,PATRIOT STATE,Training Ship,9910325
/vessels/details/8302416,HENRY J KAISER,Vessel (function unknown),8302416
/vessels/details/9273686,MAUNALEI,Container Ship,9273686
/vessels/details/8211291,CAPE VINCENT,Ro-Ro Cargo Ship,8211291
/vessels/details/8211306,CAPE VICTORY,Ro-Ro Cargo Ship,8211306
/vessels/details/9077044,SULPHUR ENTERPRISE,Chemical Tanker,9077044
/vessels/details/9083380,CG HEALY,Icebreaker,9083380
/vessels/details/9347413,SEA VENTURE,Research Vessel,9347413
/vessels/details/8862739,JOHN W BROWN,Other Non Merchant Ships,8862739
/vessels/details/9721114,BRAD DARTEZ,Offshore Tug/Supply Ship,9721114
/vessels/details/6421086,TUSTUMENA,Passenger/Ro-Ro Cargo Ship,6421086
/vessels/details/9075199,USNS PATHFINDER,Research Vessel,9075199
/vessels/details/9207077,MARY SEARS,Research Vessel,9207077
/vessels/details/9578945,SIKULIAQ,Research Vessel,9578945
/vessels/details/9645645,TSV-5 VINDICATOR,Training Ship,9645645
/vessels/details/9551636,JOSHUA CANDIES,Offshore Tug/Supply Ship,9551636
/vessels/details/7917800,DODGE ISLAND,Hopper Dredger,7917800
/vessels/details/7121140,OCEAN VICTORY,Research Vessel,7121140
/vessels/details/9421386,CAPE DAVIS,Offshore Tug/Supply Ship,9421386
/vessels/details/8806955,BEATRIZ CRISTINA,Fishing Vessel,8806955
/vessels/details/9259147,CG ASPEN,Buoy/Lighthouse Vessel,9259147
/vessels/details/8855463,COASTAL PROGRESS,Refrigerated Cargo Ship,8855463
/vessels/details/8213249,COASTAL NOMAD,General Cargo Ship,8213249
/vessels/details/6711003,RAINIER,Research Vessel,6711003
/vessels/details/8835619,RA-4D,Research Vessel,8835619
/vessels/details/8835097,OSCAR ELTON SETTE,Research Vessel,8835097
/vessels/details/9824215,CHAMPION,Tug,9824215
/vessels/details/9043835,MELISSA C,Pollution Control Vessel,9043835
/vessels/details/7814656,BOUNTIFUL,Fishing Vessel,7814656
/vessels/details/9851050,UTOPIA IV,Yacht,9851050
/vessels/details/9398474,GULF RELIANCE,Pusher Tug,9398474
/vessels/details/9202302,DISCOVERY,Offshore Tug/Supply Ship,9202302
/vessels/details/8845767,ALASKAN LEADER,Fishing Vessel,8845767
/vessels/details/7604300,RV ENDEAVOR,Research Vessel,7604300
/vessels/details/8506995,KELLY,Pusher Tug,8506995
/vessels/details/8958631,PINNACLE,Fishing Vessel,8958631
/vessels/details/8516861,DEFENDER,Fishing Vessel,8516861
/vessels/details/9830460,MOUNT DRUM,Tug,9830460
/vessels/details/7819216,ARCTIC SEA,Fishing Vessel,7819216
/vessels/details/7940467,DOMINATOR,Fishing Vessel,7940467
/vessels/details/7319010,KAREN C,Pusher Tug,7319010
/vessels/details/7512002,JUSTINE FOSS,Tug,7512002
/vessels/details/9882815,CHECKED OUT,Yacht,9882815
/vessels/details/7397828,BILLIKIN,Fishing Vessel,7397828
/vessels/details/7101176,ICY BAY,Fishing Vessel,7101176
