url,name,type,imo
/vessels/details/9511181,SAINT-ANDRE,Fishing Vessel,9511181
/vessels/details/618680076,TIELONG61868-76-99,Unknown,618680076
/vessels/details/618060404,38517,Fishing vessel,618060404
/vessels/details/618162512,TIELONG61816-12-75,Unknown,618162512
/vessels/details/618650033,61865-33-99,Unknown,618650033
/vessels/details/618000024,618-24-75,Unknown,618000024
/vessels/details/618580063,TIELONG61858-63-69,Unknown,618580063
/vessels/details/618172525,TIELONG61817-25-74,Unknown,618172525
/vessels/details/618990020,MINMINYU61899-20-99,Unknown,618990020
/vessels/details/618660034,61866-34-99,Unknown,618660034
/vessels/details/618580055,TIELONG61858-55-75,Unknown,618580055
/vessels/details/618990015,MINMINYU61899-15-93,Unknown,618990015
/vessels/details/618650091,61865-91-90,Unknown,618650091
/vessels/details/618000030,618-30-60,Unknown,618000030
/vessels/details/618650048,61865-48-98,Unknown,618650048
/vessels/details/618580058,TIELONG61858-58-87,Unknown,618580058
/vessels/details/618530008,ZHEDAIYU06185-08-97,Unknown,618530008
/vessels/details/618660057,MINLIANYU61866-5772,Unknown,618660057
/vessels/details/618162517,TIELONG61816-17-87,Unknown,618162517
/vessels/details/618880003,61888-3,Unknown,618880003
/vessels/details/618000011,618-11-99,Unknown,618000011
/vessels/details/618650034,61865-34-77,Unknown,618650034
/vessels/details/618885915,MINXIAYU88859-15-51,Unknown,618885915
/vessels/details/618990024,MINMINYU61899-24-96,Unknown,618990024
/vessels/details/618990003,MINMINYU61899-3-99,Unknown,618990003
/vessels/details/618000046,618-46 87,Unknown,618000046
/vessels/details/618650067,61865-67-43,Unknown,618650067
/vessels/details/618580069,TIELONG61858-69-76,Unknown,618580069
/vessels/details/618990010,MINMINYU61899-10-97,Unknown,618990010
/vessels/details/618650042,61865-42-95,Unknown,618650042
/vessels/details/618000021,618-21-63,Unknown,618000021
/vessels/details/618580048,TIELONG61858-48-95,Unknown,618580048
/vessels/details/618000027,618-27-99,Unknown,618000027
/vessels/details/618660038,61866-38-92,Unknown,618660038
/vessels/details/618660053,MINLIANYU61866-5379,Unknown,618660053
/vessels/details/618660031,61866-31-99,Unknown,618660031
