url,name,type,imo
/vessels/details/9598701,ESL SEAL,Bulk Carrier,9598701
/vessels/details/9171008,ATLAS COVE,Fishing Vessel,9171008
/vessels/details/9246968,FV CAP HORN 1,Fishing Vessel,9246968
/vessels/details/635016300,SURFER 225,Passenger ship,635016300
/vessels/details/635230902,08635-2-12,Unknown,635230902
/vessels/details/635900025,6359-25 96,Unknown,635900025
/vessels/details/635500001,ZHEDAIYU06355-018.2,Unknown,635500001
/vessels/details/635210918,ZHESHENGYU05635-18,Unknown,635210918
/vessels/details/9306134,CAPE MERLIN,Cargo ship,9306134
/vessels/details/635129085,LIN12908-5-97,Unknown,635129085
/vessels/details/635062666,00088,Fishing vessel,635062666
/vessels/details/635900042,6359-42 10,Unknown,635900042
/vessels/details/635900050,6359-50 53,Unknown,635900050
/vessels/details/635218594,LIN 21859-4-99,Unknown,635218594
/vessels/details/635129951,LIN 12995-1-99,Unknown,635129951
/vessels/details/635000770,SURFER1896,Other type,635000770
/vessels/details/635800008,6358-8 80,Unknown,635800008
/vessels/details/635231210,08635-10-82,Unknown,635231210
/vessels/details/635800009,6358-9 90,Unknown,635800009
/vessels/details/635961346,ESL,Cargo ship,635961346
/vessels/details/635900022,6359-22 91,Unknown,635900022
/vessels/details/635231208,08635-8-92,Unknown,635231208
/vessels/details/635231206,08635-6-95,Unknown,635231206
/vessels/details/9747601,FV CAP KERSAINT,Fishing Vessel,9747601
/vessels/details/635210917,ZHESHENGYU05635-17,Unknown,635210917
/vessels/details/635900027,6359-27 67,Unknown,635900027
/vessels/details/635250801,05635-1-84,Unknown,635250801
/vessels/details/635900030,6359-30 58,Unknown,635900030
/vessels/details/635800001,6358-1 80,Unknown,635800001
/vessels/details/635800004,6358-4 90,Unknown,635800004
/vessels/details/635221108,ZHESHENGYU05635-8,Unknown,635221108
/vessels/details/635900029,6359-29,Unknown,635900029
/vessels/details/635215975,LIN21597-5-11,Unknown,635215975
/vessels/details/635009999,00635-99999-99,Unknown,635009999
/vessels/details/635251004,04635-4-99,Unknown,635251004
/vessels/details/635800010,6358-10 90,Unknown,635800010
/vessels/details/635900021,6359-21 96,Unknown,635900021
/vessels/details/635250803,05635-3-89,Unknown,635250803
/vessels/details/635218155,LIN21815-5-74,Unknown,635218155
/vessels/details/635785787,ZHEPUYU01456-6-58,Unknown,635785787
/vessels/details/635211675,LIN 21167-5-88,Unknown,635211675
/vessels/details/635221110,ZHESHENGYU05635-10,Unknown,635221110
/vessels/details/635900004,6359-4,Unknown,635900004
/vessels/details/635250802,05635-2-93,Unknown,635250802
/vessels/details/635210914,ZHESHENGYU05635-14,Unknown,635210914
/vessels/details/635215924,LIN 21592-4-61,Unknown,635215924
/vessels/details/635212588,AAA21258-8-94,Unknown,635212588
/vessels/details/635421002,AN DA 812,Pleasure craft,635421002
/vessels/details/635900036,6359-36,Unknown,635900036
/vessels/details/635251002,04635-2-99,Unknown,635251002
/vessels/details/635900005,6359-5,Unknown,635900005
/vessels/details/635770004,TIE LONG-84,Unknown,635770004
/vessels/details/635210931,ZHESHENGYU05635-31,Unknown,635210931
/vessels/details/635337701,LURONGYU53377-1-64,Unknown,635337701
/vessels/details/635800005,6358-5 90,Unknown,635800005
/vessels/details/635900049,6359-49 55,Unknown,635900049
/vessels/details/635572167,80738-002 90,Unknown,635572167
/vessels/details/635231204,08635-4-96,Unknown,635231204
/vessels/details/635900008,6359-8 0,Unknown,635900008
/vessels/details/635015600,SURFER 222,Unknown,635015600
/vessels/details/635800007,6358-7 90,Unknown,635800007
/vessels/details/635210903,ZHESHENGYU05635-3,Unknown,635210903
/vessels/details/635297572,LING 29757-2-94,Unknown,635297572
/vessels/details/635276888,06189-B8 92,Unknown,635276888
/vessels/details/635758758,LIN33303-2-92,Unknown,635758758
/vessels/details/635858820,SAN58588-20-80,Unknown,635858820
/vessels/details/635210932,ZHESHENGYU05635-32,Unknown,635210932
/vessels/details/635900052,6359-52 65,Unknown,635900052
/vessels/details/635210922,ZHESHENGYU05635-22,Unknown,635210922
/vessels/details/635016700,SURFER 259,Other type,635016700
/vessels/details/635000740,SURFER 1893,Passenger ship,635000740
/vessels/details/635019100,KAEROU,Sailing vessel,635019100
/vessels/details/635250804,05635-4-99,Unknown,635250804
/vessels/details/9245407,MASCAREIGNES 3,Fishing Vessel,9245407
/vessels/details/635210909,ZHESHENGYU05635-9,Unknown,635210909
/vessels/details/635900038,6359-38,Unknown,635900038
/vessels/details/635018500,SURFER 228,Passenger ship,635018500
/vessels/details/635802188,CHENG JIN 188,Cargo ship,635802188
