url,name,type,imo
/vessels/details/607400007,6074-7-81,Unknown,607400007
/vessels/details/607880000,60788,Fishing vessel,607880000
/vessels/details/607770006,LULAOYU60777-6-7V2,Unknown,607770006
/vessels/details/607260015,MINPINGYU60726-1588,Unknown,607260015
/vessels/details/607260013,MINPINGYU60726-1381,Unknown,607260013
/vessels/details/607400021,6074-21-60,Unknown,607400021
/vessels/details/607792386,LX DAI DUONG P8-99,Unknown,607792386
/vessels/details/607002202,RXU 899 P5.98,Unknown,607002202
/vessels/details/607890016,JUYUAN-16-91,Unknown,607890016
/vessels/details/607890007,JUYUAN-07-02,Unknown,607890007
/vessels/details/607890012,JUYUAN-12-02,Unknown,607890012
/vessels/details/607333012,SUSHEYU07333-12-75,Unknown,607333012
/vessels/details/607212881,LIN21288-1-52,Unknown,607212881
/vessels/details/607000008,6070-08-87,Unknown,607000008
/vessels/details/607433444,04333-05-94,Unknown,607433444
/vessels/details/607260003,MINPINGYU60726-3-99,Unknown,607260003
/vessels/details/607260007,MINPINGYU60726-7-79,Unknown,607260007
/vessels/details/607100472,DONA ODETE,Fishing vessel,607100472
/vessels/details/607260001,MINPINGYU60726-1-85,Unknown,607260001
/vessels/details/607244444,06072V4V4 28,Unknown,607244444
/vessels/details/607260005,MINPINGYU60726-5-81,Unknown,607260005
/vessels/details/607230310,ZHESHENGYU05607-10,Unknown,607230310
/vessels/details/607333020,SUSHEYU07333-20-97,Unknown,607333020
/vessels/details/607226124,QIONGSANYAYU72261-24,Unknown,607226124
/vessels/details/607260008,MINPINGYU60726-8-86,Unknown,607260008
/vessels/details/607211111,06072B9B9 18,Unknown,607211111
/vessels/details/607260016,MINPINGYU60726-1699,Unknown,607260016
/vessels/details/607260009,60726-9-86,Unknown,607260009
/vessels/details/607936332,11160-02-78,Unknown,607936332
/vessels/details/607890008,JUYUAN-08-02,Unknown,607890008
/vessels/details/607644408,P4 A18 G04.99,Unknown,607644408
/vessels/details/607770014,60777-14-99,Unknown,607770014
/vessels/details/607755222,TIDE ALUCAT OFFICE,Fishing vessel,607755222
/vessels/details/607218761,LIN 21876-1-52,Unknown,607218761
/vessels/details/607215886,LIN21588-6-68,Unknown,607215886
/vessels/details/607190510,SUQIYU19050-10,Unknown,607190510
/vessels/details/607260004,MINPINGYU60726-4-99,Unknown,607260004
/vessels/details/607260011,MINPINGYU60726-1178,Unknown,607260011
/vessels/details/607770015,60777-15-99,Unknown,607770015
/vessels/details/607412118,ZHESHENGYU07412-1 0,Fishing vessel,607412118
/vessels/details/607890015,JUYUAN-15-78,Unknown,607890015
/vessels/details/607333016,SUSHEYU07333-16-92,Unknown,607333016
/vessels/details/607333011,SUSHEYU07333-11-88,Unknown,607333011
/vessels/details/607400002,6074-2-83,Unknown,607400002
/vessels/details/607260014,MINPINGYU60726-1485,Unknown,607260014
/vessels/details/607433305,74333-05-62,Unknown,607433305
/vessels/details/607260002,MINPINGYU60726-2-99,Unknown,607260002
/vessels/details/607333013,SUSHEYU07333-13-93,Unknown,607333013
/vessels/details/607890019,JUYUAN-19-07,Unknown,607890019
/vessels/details/607260006,60726-6-59,Unknown,607260006
/vessels/details/607800088,ZHANGYUXINHAO-1-99,Unknown,607800088
/vessels/details/607400022,6074-22-99,Unknown,607400022
/vessels/details/607260017,MINPINGYU60726-1745,Unknown,607260017
/vessels/details/607230303,ZHESHENGYU05607-3,Unknown,607230303
/vessels/details/607333017,SUSHEYU07333-17-98,Unknown,607333017
/vessels/details/607101319,LIN71013-19,Unknown,607101319
/vessels/details/607260012,MINPINGYU60726-1299,Unknown,607260012
/vessels/details/607936333,11160-03-99,Unknown,607936333
