url,name,type,imo
/vessels/details/9258777,WADI HASSAN,Tug,9258777
/vessels/details/473200005,473200005,Unknown,473200005
/vessels/details/473400015,ZICAIYANGZHIQU-1537,Unknown,473400015
/vessels/details/8823094,BURUM,Fishing Vessel,8823094
/vessels/details/473400003,ZICAIYANGZHIQU-3-55,Unknown,473400003
/vessels/details/7523623,IRQA,Fishing Vessel,7523623
/vessels/details/4698491,P-1026,Patrol Vessel,4698491
/vessels/details/473220015,MAOBINGYU47322-1599,Unknown,473220015
/vessels/details/7630610,NISHTUN,Fishing Vessel,7630610
/vessels/details/473200007,4732-07,Unknown,473200007
/vessels/details/475192599,L CHUON B1 P7-69,Unknown,475192599
/vessels/details/9002362,RUDEEF GNA,Oil Products Tanker,9002362
/vessels/details/473220022,MAOBINGYU47322-2293,Unknown,473220022
/vessels/details/473220021,MAOBINGYU47322-2135,Unknown,473220021
/vessels/details/475400028,00028,Fishing vessel,475400028
/vessels/details/475102635,SEA ANGEL CRUISE 2,Passenger ship,475102635
/vessels/details/8428832,TABUT,Fishing Vessel,8428832
/vessels/details/475146000,HAI LOC C38,Fishing vessel,475146000
/vessels/details/473400007,ZICAIYANGZHIQU-7-69,Unknown,473400007
/vessels/details/473220009,47322-09-53,Unknown,473220009
/vessels/details/475442139,42139,Fishing vessel,475442139
/vessels/details/7811642,SALIF,Tug,7811642
/vessels/details/473400008,ZICAIYANGZHIQU-8-68,Unknown,473400008
/vessels/details/473400016,ZICAIYANGZHIQU-1690,Unknown,473400016
/vessels/details/475896356,DAHAI7HAO,Cargo ship,475896356
/vessels/details/9258789,WADI HATEEB,Tug,9258789
/vessels/details/473400002,ZICAIYANGZHIQU-2-66,Unknown,473400002
/vessels/details/8428806,MUSAINAH,Fishing Vessel,8428806
/vessels/details/9173824,DHU-HIRAB,Tug,9173824
/vessels/details/473400018,ZICAIYANGZHIQU-1846,Unknown,473400018
/vessels/details/473111187,ADEN,SAR,473111187
/vessels/details/4698506,P-1027,Patrol Vessel,4698506
/vessels/details/4698453,P-1022,Patrol Vessel,4698453
/vessels/details/8805963,22 MAY,Tug,8805963
/vessels/details/9173836,MAYOON,Tug,9173836
/vessels/details/473400012,ZICAIYANGZHIQU-1239,Unknown,473400012
/vessels/details/475635899,TAIAN9,Cargo ship,475635899
/vessels/details/4698518,P-1028,Patrol Vessel,4698518
/vessels/details/475132456,89 RMUC-B27-P2-80,Unknown,475132456
/vessels/details/475211136,AIS,Unknown,475211136
