url,name,type,imo
/vessels/details/9573787,CAPE MAGNOLIA,Bulk Carrier,9573787
/vessels/details/9538751,CAPE JASMINE,Bulk Carrier,9538751
/vessels/details/9577135,S.A. AGULHAS II,Research Vessel,9577135
/vessels/details/8607361,DESERT DIAMOND,Fish Factory Ship,8607361
/vessels/details/9741891,ILEMBE,Hopper Dredger,9741891
/vessels/details/7628136,SA AGULHAS,Research Vessel,7628136
/vessels/details/9427055,UMKHUSELI,Offshore Tug/Supply Ship,9427055
/vessels/details/9532903,ISANDLWANA,Hopper Dredger,9532903
/vessels/details/9613977,UHAMBO,Oil Products Tanker,9613977
/vessels/details/9371294,ISIQALO,Oil Products Tanker,9371294
/vessels/details/9135729,UMLOBI,Fish Factory Ship,9135729
/vessels/details/9405148,SOUTHERN VENTURE,Bunkering Tanker,9405148
/vessels/details/9546148,FUMANA,Bunkering Tanker,9546148
/vessels/details/8609357,SANTA PRINCESA,Fishing Vessel,8609357
/vessels/details/9324227,INKANYEZI,Offshore Tug/Supply Ship,9324227
/vessels/details/8901547,BORONIA,Fish Factory Ship,8901547
/vessels/details/8901418,BLUEBELL,Fish Factory Ship,8901418
/vessels/details/9288679,SARAH BAARTMAN,Fishing Support Vessel,9288679
/vessels/details/8704975,UMLUNGISI,Fishing Vessel,8704975
/vessels/details/9689108,ITALENI,Hopper Dredger,9689108
/vessels/details/8735895,BONGANI,Bunkering Tanker,8735895
/vessels/details/8704999,H. ATLANTIC PEACE,Fishing Vessel,8704999
/vessels/details/8714334,HARVEST CAP NORD,Fishing Vessel,8714334
/vessels/details/9479709,SIYANDA,Anchor Hoy,9479709
/vessels/details/8509210,PUENTE SABARIS,Fishing Vessel,8509210
/vessels/details/8704664,BEATRICE MARINE,Fishing Vessel,8704664
/vessels/details/4736475,SAS KING SHAKA ZULU,Patrol Vessel,4736475
/vessels/details/9740407,FEROX,Fishing Vessel,9740407
/vessels/details/8619792,HARVEST SALDANHA,Fishing Vessel,8619792
/vessels/details/9293480,FOREST LILY,Fishing Vessel,9293480
/vessels/details/9293492,MFV FOXGLOVE,Fishing Vessel,9293492
/vessels/details/9188269,FUCHSIA,Fishing Vessel,9188269
/vessels/details/9188257,FREESIA,Fishing Vessel,9188257
/vessels/details/7410369,ALGOA,Fishing Support Vessel,7410369
/vessels/details/9214965,AVRO WARRIOR,Fishing Vessel,9214965
/vessels/details/9369021,ELLEN KHUZWAYO,Fishing Support Vessel,9369021
/vessels/details/9329174,SANTO DO MAR,Fishing Vessel,9329174
/vessels/details/9165968,ANDROMEDA,Fishing Vessel,9165968
/vessels/details/8001359,RIGEL 4,Fishing Vessel,8001359
/vessels/details/8509777,HARVEST VERONICA,Fishing Vessel,8509777
/vessels/details/8816869,ISABELLA MARINE,Fishing Vessel,8816869
