url,name,type,imo
/vessels/details/678876945,MINXIAYU09798-16-34,Unknown,678876945
/vessels/details/678300009,6783-9-84,Unknown,678300009
/vessels/details/678453274,ZHEDAIYU04108-24-74,Unknown,678453274
/vessels/details/678966013,06789-6666-13-91,Unknown,678966013
/vessels/details/678200024,NET ZPY82056-24 90,Unknown,678200024
/vessels/details/678900002,LUWEIYU67890-2-83,Unknown,678900002
/vessels/details/678599925,SAN 85999-25-64,Unknown,678599925
/vessels/details/678453300,ALOHA III,Pleasure craft,678453300
/vessels/details/678908059,YU 6789 -59 75,Unknown,678908059
/vessels/details/678000000,LUOI 05 A28 P2 .56,Unknown,678000000
/vessels/details/678978907,789789-7- 90,Unknown,678978907
/vessels/details/678908062,YU 6789 -62 67,Unknown,678908062
/vessels/details/678978914,789789-14- 90,Unknown,678978914
/vessels/details/678908052,YU 6789 -52 -99,Unknown,678908052
/vessels/details/678367886,21286-15-54,Unknown,678367886
/vessels/details/678859999,SAN 85999-9-38,Unknown,678859999
/vessels/details/678999999,HUANGBOHAIXIAOFUREN,Pleasure craft,678999999
/vessels/details/678212121,LIN21212-1-84,Unknown,678212121
/vessels/details/678966010,06789-6666-10-80,Unknown,678966010
/vessels/details/678001711,XIANG 80017-11-36,Unknown,678001711
/vessels/details/678300006,6783-6-99,Unknown,678300006
/vessels/details/678678256,12168-8,Unknown,678678256
/vessels/details/678300011,6783-11-08,Unknown,678300011
/vessels/details/678978911,789789-11- 90,Unknown,678978911
/vessels/details/678200029,NET ZPY82056-29 90,Unknown,678200029
/vessels/details/678245435,12132-1 40,Unknown,678245435
/vessels/details/678978902,789789-2- 90,Unknown,678978902
/vessels/details/678219296,LIN21929-6-53,Unknown,678219296
/vessels/details/678966003,06789-6666-3-99,Unknown,678966003
/vessels/details/678908061,YU 6789 -61 97,Unknown,678908061
/vessels/details/678300003,6783-3-99,Unknown,678300003
/vessels/details/678978904,789789-4- 90,Unknown,678978904
/vessels/details/678908050,YU 6789 -50 -93,Unknown,678908050
/vessels/details/678978905,789789-5- 90,Unknown,678978905
/vessels/details/678908064,YU 6789 -64 20,Unknown,678908064
/vessels/details/678978916,789789-16- 90,Unknown,678978916
/vessels/details/678556006,12018-3 80,Unknown,678556006
/vessels/details/678693968,GHE-CHA-CHIM-68-B14,Fishing vessel,678693968
/vessels/details/678025550,SUGANYU02255-50-99,Unknown,678025550
/vessels/details/678900004,LUWEIYU67890-4-95,Unknown,678900004
/vessels/details/678993808,D CHA CHIM 08 B1496,Unknown,678993808
/vessels/details/678768387,ZHEDAIYU04126-3-92,Unknown,678768387
/vessels/details/678200018,NET ZPY82056-18 90,Unknown,678200018
/vessels/details/678913688,LX 2868 DR,Fishing vessel,678913688
/vessels/details/678329000,PANIA2,Tug,678329000
/vessels/details/678900000,67890,Fishing vessel,678900000
/vessels/details/678218288,LIN21828-8-73,Unknown,678218288
/vessels/details/678205622,82056-22 90,Unknown,678205622
/vessels/details/678978901,789789-1- 90,Unknown,678978901
/vessels/details/678300004,6783-4-99,Unknown,678300004
/vessels/details/678908051,YU 6789 -51 -77,Unknown,678908051
/vessels/details/678210552,21262,Fishing vessel,678210552
/vessels/details/678762367,42162-11-61,Unknown,678762367
/vessels/details/678300007,6783-7-91,Unknown,678300007
/vessels/details/678782367,LIAOYINGYU25381-22,Unknown,678782367
/vessels/details/678444444,M678-4,Unknown,678444444
/vessels/details/678453256,66507-6-70,Unknown,678453256
/vessels/details/678764688,34271-1-67,Unknown,678764688
/vessels/details/678215677,01383-2 80,Unknown,678215677
/vessels/details/678696969,LUOICHUPGIAPHAT3S19,Other type,678696969
/vessels/details/678900008,LUWEIYU67890-8-83,Unknown,678900008
/vessels/details/678786267,12195-13 60,Unknown,678786267
/vessels/details/678948368,48368,Other type,678948368
/vessels/details/678987603,03985-18-56,Unknown,678987603
/vessels/details/678987602,03985-13-64,Unknown,678987602
/vessels/details/678000003,678-3,Unknown,678000003
/vessels/details/678900003,LIAOPANYU6789-3-7V8,Unknown,678900003
/vessels/details/678218854,LIN21885-A4-81,Unknown,678218854
/vessels/details/678990007,MINLIANYU67899B-7,Unknown,678990007
/vessels/details/678235677,42157-6 70,Unknown,678235677
/vessels/details/678222796,796DR,Towing vessel,678222796
/vessels/details/678356476,MINFUDINGYU04377-8,Unknown,678356476
/vessels/details/678958800,95358-161,Unknown,678958800
/vessels/details/678966012,06789-6666-12-88,Unknown,678966012
/vessels/details/678978913,789789-13- 90,Unknown,678978913
/vessels/details/678200011,NET ZPY82056-11 90,Unknown,678200011
/vessels/details/678237675,12021-8 30,Unknown,678237675
/vessels/details/678000005,YUELEI678-BIAO5-08,Unknown,678000005
/vessels/details/678300002,6783-2-99,Unknown,678300002
/vessels/details/678908055,YU 6789 -55 100,Other type,678908055
/vessels/details/678215222,NET ZPY82152-2-66,Unknown,678215222
/vessels/details/678333333,58609-2,Unknown,678333333
/vessels/details/678885911,MINXIAYU88859-11-54,Unknown,678885911
/vessels/details/678898811,SAN 88988-11-95,Unknown,678898811
/vessels/details/678123456,C1GOI 18,Fishing vessel,678123456
/vessels/details/678129539,LIN12953-9-92,Unknown,678129539
/vessels/details/678567899,LX 199,Fishing vessel,678567899
/vessels/details/678900001,SUFHYU06789-1-67,Unknown,678900001
/vessels/details/678325612,13008-1263,Unknown,678325612
/vessels/details/678966522,665-22-98,Unknown,678966522
/vessels/details/678923256,00,Fishing vessel,678923256
/vessels/details/678255763,12115-8-93,Unknown,678255763
/vessels/details/678908056,YU 6789 -56 99,Unknown,678908056
/vessels/details/678356765,ZHELIN00230-22-92,Unknown,678356765
/vessels/details/678128206,LIN12820-6-63,Unknown,678128206
/vessels/details/678978903,789789-3- 90,Unknown,678978903
/vessels/details/678860177,13068-17-17 60,Unknown,678860177
/vessels/details/678453265,66507-5-81,Unknown,678453265
/vessels/details/678200013,NET ZPY82056-13 70,Unknown,678200013
/vessels/details/678956782,927 LMUC A36 0 39,Other type,678956782
/vessels/details/678912868,LX 2868 DV,Fishing vessel,678912868
/vessels/details/678666666,TAU 8386 HP,Cargo ship,678666666
/vessels/details/678978909,789789-9- 90,Unknown,678978909
/vessels/details/678900005,LUWEIYU67890-5-71,Unknown,678900005
/vessels/details/678757855,18888-2-54,Unknown,678757855
/vessels/details/678768710,01501-1084,Unknown,678768710
/vessels/details/678914505,95238-499,Unknown,678914505
/vessels/details/678000006,YUELEI678-BIAO6-90,Unknown,678000006
/vessels/details/678256757,34066-10-81,Unknown,678256757
/vessels/details/678908058,YU 6789 -58 99,Unknown,678908058
/vessels/details/678256716,28802-1699,Unknown,678256716
/vessels/details/678908057,YU 6789 -57 88,Unknown,678908057
/vessels/details/678966527,665-27-85,Unknown,678966527
/vessels/details/678900007,LUWEIYU67890-7-70,Unknown,678900007
/vessels/details/678228887,ZHEPUYU68097,Fishing vessel,678228887
/vessels/details/678926786,12199-3-83,Unknown,678926786
/vessels/details/678300001,6783-1-99,Unknown,678300001
/vessels/details/678264202,00678-2-02,Unknown,678264202
/vessels/details/678908054,YU 6789 -54 -98,Unknown,678908054
/vessels/details/678990018,MINLIANYU67899B-18,Unknown,678990018
/vessels/details/678672565,12081-19 80,Unknown,678672565
/vessels/details/678367611,08922-11-89,Unknown,678367611
/vessels/details/678218761,LIN21876-1-98,Unknown,678218761
/vessels/details/678200016,NET ZPY82056-16 90,Unknown,678200016
/vessels/details/678978912,789789-12- 40,Unknown,678978912
/vessels/details/678800003,06788B3-99,Fishing vessel,678800003
/vessels/details/678901211,4277-12-79,Unknown,678901211
/vessels/details/678899789,RONG VANG 84,Towing vessel,678899789
/vessels/details/678966513,665-13-93,Unknown,678966513
/vessels/details/678560011,67856-11-89,Unknown,678560011
/vessels/details/678990016,MINLIANYU67899B-16,Unknown,678990016
/vessels/details/678900009,LUWEIYU67890-9-64,Unknown,678900009
/vessels/details/678575765,02951-1 90,Unknown,678575765
/vessels/details/678200027,NET ZPY82056-27 70,Unknown,678200027
/vessels/details/678990004,MINLIANYU67899B-4,Unknown,678990004
/vessels/details/678766678,DONGTONG2026,Passenger ship,678766678
/vessels/details/678978915,789789-15- 90,Unknown,678978915
/vessels/details/678687325,LIAOYINGYU26336-2,Unknown,678687325
/vessels/details/678900006,LUWEIYU67890-6-79,Unknown,678900006
/vessels/details/678787509,ZHEDINGYU20306-0963,Unknown,678787509
/vessels/details/678908053,YU 6789 -53 -50,Unknown,678908053
/vessels/details/678510048,MINLIANYU67851-48,Unknown,678510048
/vessels/details/678560010,67856-10-35,Unknown,678560010
/vessels/details/678599910,SAN 85999-10-99,Unknown,678599910
/vessels/details/678200021,NET ZPY82056-21 90,Unknown,678200021
/vessels/details/678678678,LAM VAN 8386 A1,WIG,678678678
/vessels/details/678335000,SRIRACHA 6,Tug,678335000
/vessels/details/678236704,08922-04-86,Unknown,678236704
/vessels/details/678254676,42016-15-72,Unknown,678254676
/vessels/details/678966009,06789-6666-9-99,Unknown,678966009
/vessels/details/678326708,12102-08-99,Unknown,678326708
/vessels/details/678978917,789789-17- 90,Unknown,678978917
/vessels/details/678239823,12115-7-78,Unknown,678239823
/vessels/details/678222555,796DR,Towing vessel,678222555
/vessels/details/678770006,MINLIANYU67877A-6,Unknown,678770006
/vessels/details/678267867,12199-1-73,Unknown,678267867
/vessels/details/678000001,678-1,Unknown,678000001
/vessels/details/678966530,665-30-41,Unknown,678966530
/vessels/details/678325787,01688-21 90,Unknown,678325787
/vessels/details/678000007,YUELEI678-BIAO7-25,Unknown,678000007
/vessels/details/678300008,6783-8-99,Unknown,678300008
/vessels/details/678561897,TAU A8A13 G86,Towing vessel,678561897
/vessels/details/678321487,42162-2-67,Unknown,678321487
/vessels/details/678123458,YUEHUIDONGYU1008,Unknown,678123458
/vessels/details/678993968,DAU CHA CHIM 68 B14,Other type,678993968
/vessels/details/678987605,03985-20-56,Unknown,678987605
/vessels/details/678200026,NET ZPY82056-26 90,Unknown,678200026
/vessels/details/678978908,789789-8- 90,Unknown,678978908
/vessels/details/678300005,6783-5-99,Unknown,678300005
/vessels/details/678910810,3600-10-99,Unknown,678910810
/vessels/details/678966001,06789-6666-1-89,Unknown,678966001
/vessels/details/678800001,06788B1-99,Fishing vessel,678800001
/vessels/details/678908060,YU 6789 -60 82,Unknown,678908060
/vessels/details/678546347,631323-35,Unknown,678546347
/vessels/details/678990011,MINLIANYU67899B-11,Unknown,678990011
/vessels/details/678978910,789789-10- 90,Unknown,678978910
/vessels/details/678966014,06789-6666-14-99,Unknown,678966014
/vessels/details/678672356,ZHEDAIYU06896-78-63,Unknown,678672356
/vessels/details/678978906,789789-6- 90,Unknown,678978906
/vessels/details/678768557,12153-19 90,Unknown,678768557
/vessels/details/678712203,VUONG 50,Unknown,678712203
/vessels/details/678599918,SAN 85999-18-83,Unknown,678599918
/vessels/details/678678257,12195-2 50,Unknown,678678257
/vessels/details/678990019,MINLIANYU67899B-19,Unknown,678990019
/vessels/details/678990005,MINLIANYU67899B-5,Unknown,678990005
/vessels/details/678911111,6789-01,Unknown,678911111
/vessels/details/678560000,P610,Unknown,678560000
/vessels/details/678917177,17177,Fishing vessel,678917177
/vessels/details/678868840,ZHE LU YU 88688-40,Unknown,678868840
/vessels/details/678363296,X 2868 D35,Fishing vessel,678363296
/vessels/details/678999789,OC789A36,Fishing vessel,678999789
/vessels/details/678276502,18010-0245,Unknown,678276502
