url,name,type,imo
/vessels/details/679878097,PW N END 13,Fishing vessel,679878097
/vessels/details/679218289,LIN21828-9-89,Unknown,679218289
/vessels/details/679370063,67937-63-68,Unknown,679370063
/vessels/details/679370056,TIELONG67937-56-89,Unknown,679370056
/vessels/details/679423202,12102-02-99,Unknown,679423202
/vessels/details/679935002,67993502-66,Unknown,679935002
/vessels/details/679980001,WANGCHUAN67998-1-61,Unknown,679980001
/vessels/details/679201007,16818-6-97,Unknown,679201007
/vessels/details/679370015,TIELONG67937-15-82,Unknown,679370015
/vessels/details/679127548,LIAOHUYU25092,Fishing vessel,679127548
/vessels/details/679370058,67937-58-55,Unknown,679370058
/vessels/details/679370009,TIELONG67937-9-99,Unknown,679370009
/vessels/details/679980003,WANGCHUAN67998-3-39,Unknown,679980003
/vessels/details/679935001,67993501-29,Unknown,679935001
/vessels/details/679995627,SAN99956-27-39,Unknown,679995627
/vessels/details/679218929,LIN21892-9-78,Unknown,679218929
/vessels/details/679370011,TIELONG67937-11-94,Unknown,679370011
/vessels/details/679370002,67937-A2-73,Unknown,679370002
/vessels/details/679679987,0011987-15,Tug,679679987
/vessels/details/679222222,KM BAHARI 9,Fishing vessel,679222222
/vessels/details/679370016,TIELONG67937-16-40,Unknown,679370016
/vessels/details/679370014,TIELONG67937-14-28,Unknown,679370014
/vessels/details/679370004,67937-A4-78,Unknown,679370004
/vessels/details/679370064,67937-64-91,Unknown,679370064
/vessels/details/679370096,TIELONG67937-9693,Unknown,679370096
/vessels/details/679270001,MINDONGYU67927-1-82,Unknown,679270001
/vessels/details/679370059,67937-59-93,Unknown,679370059
/vessels/details/679832111,13010-7-7 90,Unknown,679832111
/vessels/details/679370007,TIELONG67937-7-99,Unknown,679370007
/vessels/details/679219297,LIN21929-7-05,Unknown,679219297
/vessels/details/679652062,5098-17 50,Unknown,679652062
/vessels/details/679370006,67937-A6-90,Unknown,679370006
/vessels/details/679270002,MINDONGYU67927-2-92,Unknown,679270002
/vessels/details/679370003,TIELONG67937-3-29,Unknown,679370003
/vessels/details/679370091,TIELONG67937-9199,Unknown,679370091
/vessels/details/679370017,TIELONG67937-17-84,Unknown,679370017
/vessels/details/679370010,67937-A10-47,Unknown,679370010
/vessels/details/679370001,67937-A1-77,Unknown,679370001
/vessels/details/679679679,LX 889 DXDV,Fishing vessel,679679679
/vessels/details/679195359,LIN 19535-9-95,Unknown,679195359
/vessels/details/679036171,SUQIYU03617-1-55,Unknown,679036171
/vessels/details/679170881,17088-1-99,Unknown,679170881
/vessels/details/679370093,TIELONG67937-9350,Unknown,679370093
/vessels/details/679791987,00198715,Pleasure craft,679791987
/vessels/details/679370099,TIELONG67937-9976,Unknown,679370099
